"ID","mapZoneId","pos0","pos1","flags"
399,1,762,484,1
400,1,763,484,1
401,1,764,484,1
402,1,765,484,1
403,1,766,484,1
404,1,772,484,1
405,1,773,484,1
406,1,774,484,1
407,1,775,484,1
408,1,776,484,1
409,1,777,484,1
410,1,778,484,1
411,1,779,484,1
412,1,780,484,1
413,1,781,484,1
414,1,782,484,1
415,1,783,484,1
416,1,784,484,1
417,1,785,484,1
418,16,774,558,1
419,16,775,558,1
420,16,775,559,1
421,16,775,560,1
422,1,762,485,1
423,1,763,485,1
424,1,764,485,1
425,1,765,485,1
426,1,772,485,1
427,1,773,485,1
428,1,774,485,1
429,1,775,485,1
430,1,776,485,1
431,1,780,485,1
432,1,781,485,1
433,1,782,485,1
434,1,783,485,1
435,1,784,485,1
436,1,785,485,1
437,16,776,561,1
438,16,777,561,1
439,16,778,562,1
440,16,779,561,1
441,1,762,486,1
442,1,763,486,1
443,1,764,486,1
444,1,765,486,1
445,1,772,486,1
446,1,773,486,1
447,1,774,486,1
448,1,780,486,1
449,1,781,486,1
450,1,782,486,1
451,1,783,486,1
452,1,784,486,1
453,1,785,486,1
454,16,780,562,1
455,16,781,561,1
456,16,780,561,1
457,16,781,560,1
458,1,762,487,1
459,1,763,487,1
460,1,764,487,1
461,1,765,487,1
462,1,766,487,1
463,1,784,487,1
464,1,785,487,1
465,16,782,560,1
466,16,781,557,1
467,16,782,557,1
468,1,762,488,1
469,1,763,488,1
470,1,764,488,1
471,1,762,489,1
472,1,763,489,1
473,1,762,490,1
474,1,763,490,1
475,1,781,490,1
476,1,784,490,1
477,1,785,490,1
478,16,783,556,1
479,16,782,558,1
480,1,762,491,1
481,1,763,491,1
482,1,781,491,1
483,1,782,491,1
484,1,783,491,1
485,1,784,491,1
486,1,785,491,1
487,16,782,559,1
488,16,783,558,1
489,16,783,557,1
490,16,784,557,1
491,1,762,492,1
492,1,763,492,1
493,1,781,492,1
494,1,782,492,1
495,1,783,492,1
496,1,784,492,1
497,1,785,492,1
498,16,784,558,1
499,16,785,558,1
500,16,786,558,1
501,16,786,559,1
502,1,762,493,1
503,1,763,493,1
504,1,773,493,1
505,1,781,493,1
506,1,782,493,1
507,1,783,493,1
508,1,784,493,1
509,1,785,493,1
510,16,787,559,1
511,16,788,560,1
512,16,789,559,1
513,16,789,560,1
514,1,762,494,1
515,1,773,494,1
516,1,774,494,1
517,1,781,494,1
518,1,782,494,1
519,1,783,494,1
520,1,784,494,1
521,1,785,494,1
522,16,790,561,1
523,16,790,562,1
524,16,790,563,1
525,16,791,563,1
526,1,772,495,1
527,1,781,495,1
528,1,782,495,1
529,1,783,495,1
530,1,784,495,1
531,1,785,495,1
532,16,789,563,1
533,16,789,562,1
534,16,789,561,1
535,16,788,561,1
536,1,771,496,1
537,1,772,496,1
538,1,781,496,1
539,1,782,496,1
540,1,783,496,1
541,1,784,496,1
542,1,785,496,1
543,16,787,561,1
544,16,787,560,1
545,16,786,561,1
546,16,786,560,1
547,1,772,497,1
548,1,773,497,1
549,1,780,497,1
550,1,781,497,1
551,1,782,497,1
552,1,783,497,1
553,1,784,497,1
554,1,785,497,1
555,16,785,559,1
556,16,785,560,1
557,16,787,562,1
558,16,788,562,1
559,1,762,498,1
560,1,763,498,1
561,1,764,498,1
562,1,765,498,1
563,1,771,498,1
564,1,772,498,1
565,1,773,498,1
566,1,779,498,1
567,1,780,498,1
568,1,781,498,1
569,1,782,498,1
570,1,783,498,1
571,1,784,498,1
572,1,785,498,1
573,16,788,563,1
574,16,787,563,1
575,16,786,563,1
576,16,785,563,1
