"ID","raceId","gender","itemSlotId","itemDisplayId","flags","characterCustomizationLabelId00","characterCustomizationLabelId01","value00","value01"
1,1,0,24,5,2,2,0,1,0
2,1,0,25,135,2,22,2,1,1
3,0,0,1,175,0,0,0,0,0
4,0,0,2,177,0,0,0,0,0
5,0,0,4,178,0,0,0,0,0
6,0,0,5,174,0,0,0,0,0
7,0,0,6,176,0,0,0,0,0
8,0,0,3,173,0,0,0,0,0
9,1,0,25,136,2,22,2,2,1
10,1,0,25,137,2,21,2,2,1
11,1,0,25,138,2,22,2,3,1
12,1,0,25,139,2,22,2,4,1
13,1,0,25,140,2,22,2,5,1
14,1,0,25,141,2,22,2,6,1
15,1,0,25,142,2,21,2,6,1
16,1,0,28,4,2,24,4,14,1
17,1,0,39,206,2,20,4,7,1
18,1,0,28,226,2,24,4,14,2
19,1,0,28,186,2,24,4,14,7
20,1,0,24,25,2,2,0,2,0
21,1,0,24,187,2,2,0,3,0
22,1,0,25,190,2,22,2,1,2
23,1,0,25,189,2,22,2,1,3
24,1,0,25,192,2,22,2,2,2
25,1,0,25,193,2,22,2,2,3
26,1,0,25,194,2,21,2,2,2
27,1,0,25,201,2,21,2,2,3
28,1,0,25,188,2,22,2,3,2
29,1,0,25,199,2,22,2,3,3
30,1,0,25,202,2,22,2,4,2
31,1,0,25,197,2,22,2,4,3
32,1,0,25,196,2,22,2,5,2
33,1,0,25,191,2,22,2,5,3
34,1,0,25,198,2,22,2,6,2
35,1,0,25,203,2,22,2,6,3
36,1,0,25,200,2,21,2,6,2
37,1,0,25,195,2,21,2,6,3
38,1,0,39,116,2,20,4,7,2
39,1,0,39,207,2,20,4,7,7
40,1,0,39,0,2,20,4,1,1
41,1,0,39,0,2,20,4,1,2
42,1,0,39,0,2,20,4,1,7
43,1,0,26,6,2,0,7,0,1
44,1,0,26,205,2,0,7,0,2
45,1,0,26,204,2,0,7,0,3
46,1,0,28,24,2,24,4,2,1
47,1,0,28,208,2,23,4,2,1
48,1,0,28,209,2,24,4,3,1
49,1,0,28,210,2,24,4,4,1
50,1,0,28,211,2,24,4,5,1
51,0,0,28,212,2,24,4,6,1
52,1,0,28,213,2,24,4,6,1
53,1,0,28,214,2,24,4,8,1
54,1,0,28,215,2,24,4,9,1
55,1,0,28,228,2,24,4,2,2
56,1,0,28,231,2,23,4,2,2
57,1,0,28,232,2,24,4,3,2
58,1,0,28,233,2,24,4,4,2
59,1,0,28,234,2,24,4,5,2
60,0,0,28,185,2,3,4,7,2
61,1,0,28,288,2,24,4,6,2
62,1,0,28,289,2,24,4,8,2
63,1,0,28,290,2,24,4,9,2
