"ID","quest2IdSheriff00","quest2IdSheriff01","quest2IdSheriff02","quest2IdSheriff03","quest2IdSheriff04","quest2IdSheriff05","quest2IdSheriff06","quest2IdSheriff07","localizedTextIdDescription00","localizedTextIdDescription01","localizedTextIdDescription02","localizedTextIdDescription03","localizedTextIdDescription04","localizedTextIdDescription05","localizedTextIdDescription06","localizedTextIdDescription07","characterTitleIdReward"
1,1807,2905,1806,1808,0,0,0,0,287980,287981,287982,287983,0,0,0,0,11
9,3889,0,0,0,0,0,0,0,345207,345208,0,0,0,0,0,0,119
10,3913,0,0,0,0,0,0,0,345782,0,0,0,0,0,0,0,120
11,4973,0,0,0,0,0,0,0,346399,0,0,0,0,0,0,0,121
12,4985,0,0,0,0,0,0,0,347816,347817,0,0,0,0,0,0,126
13,7631,0,0,0,0,0,0,0,348359,0,0,0,0,0,0,0,127
14,4997,0,0,0,0,0,0,0,348756,0,0,0,0,0,0,0,128
15,5002,5327,0,0,0,0,0,0,349241,475090,0,0,0,0,0,0,129
17,7734,7948,0,0,0,0,0,0,364301,364302,0,0,0,0,0,0,349
18,7735,8014,0,0,0,0,0,0,364303,411248,0,0,0,0,0,0,349
19,5474,0,0,0,0,0,0,0,365509,0,0,0,0,0,0,0,113
20,5765,0,0,0,0,0,0,0,366480,0,0,0,0,0,0,0,114
21,5937,0,0,0,0,0,0,0,367668,0,0,0,0,0,0,0,115
22,5750,0,0,0,0,0,0,0,370036,0,0,0,0,0,0,0,146
23,8106,0,0,0,0,0,0,0,371577,0,0,0,0,0,0,0,147
24,7651,0,0,0,0,0,0,0,371649,0,0,0,0,0,0,0,148
25,7640,0,0,0,0,0,0,0,374763,0,0,0,0,0,0,0,149
26,5160,0,0,0,0,0,0,0,375834,461224,0,0,0,0,0,0,142
27,5453,0,0,0,0,0,0,0,376283,0,0,0,0,0,0,0,143
28,5756,0,0,0,0,0,0,0,376825,0,0,0,0,0,0,0,144
29,5755,0,0,0,0,0,0,0,376826,0,0,0,0,0,0,0,144
30,9041,0,0,0,0,0,0,0,377063,0,0,0,0,0,0,0,145
31,9041,0,0,0,0,0,0,0,377078,0,0,0,0,0,0,0,145
32,7168,0,0,0,0,0,0,0,392746,0,0,0,0,0,0,0,351
38,7390,0,0,0,0,0,0,0,401570,0,0,0,0,0,0,0,352
48,6444,6446,0,0,0,0,0,0,415627,558074,0,0,0,0,0,0,350
49,6445,6447,0,0,0,0,0,0,415629,558080,0,0,0,0,0,0,350
52,7613,0,0,0,0,0,0,0,418196,0,0,0,0,0,0,0,101
53,7001,7108,0,0,0,0,0,0,421183,421184,0,0,0,0,0,0,102
54,6906,0,0,0,0,0,0,0,426904,0,0,0,0,0,0,0,103
55,8830,0,0,0,0,0,0,0,435000,0,0,0,0,0,0,0,94
56,8832,0,0,0,0,0,0,0,436369,0,0,0,0,0,0,0,95
57,8858,0,0,0,0,0,0,0,437941,0,0,0,0,0,0,0,348
58,6370,0,0,0,0,0,0,0,447446,0,0,0,0,0,0,0,106
59,6370,0,0,0,0,0,0,0,447459,0,0,0,0,0,0,0,106
60,8110,0,0,0,0,0,0,0,453859,0,0,0,0,0,0,0,107
61,7677,0,0,0,0,0,0,0,506435,0,0,0,0,0,0,0,197
62,8133,0,0,0,0,0,0,0,506442,0,0,0,0,0,0,0,197
64,8583,0,0,0,0,0,0,0,520145,536939,0,0,0,0,0,0,217
65,8583,0,0,0,0,0,0,0,520244,536940,0,0,0,0,0,0,217
66,9154,0,0,0,0,0,0,0,533248,0,0,0,0,0,0,0,245
67,9163,0,0,0,0,0,0,0,533965,0,0,0,0,0,0,0,245
68,9290,0,0,0,0,0,0,0,538084,0,0,0,0,0,0,0,321
69,9292,0,0,0,0,0,0,0,538088,0,0,0,0,0,0,0,321
