"ID","maxAvenueEconomy","maxAvenueSecurity","maxAvenueQualityOfLife","localizedTextIdEconomy","localizedTextIdSecurity","localizedTextIdQualityOfLife","worldZoneId","missionCount","flags","item2IdResource00","item2IdResource01","item2IdResource02","publicEventObjectiveIdResource00","publicEventObjectiveIdResource01","publicEventObjectiveIdResource02","worldLocation2IdMapResource00Loc00","worldLocation2IdMapResource00Loc01","worldLocation2IdMapResource00Loc02","worldLocation2IdMapResource00Loc03","worldLocation2IdMapResource01Loc00","worldLocation2IdMapResource01Loc01","worldLocation2IdMapResource01Loc02","worldLocation2IdMapResource01Loc03","worldLocation2IdMapResource02Loc00","worldLocation2IdMapResource02Loc01","worldLocation2IdMapResource02Loc02","worldLocation2IdMapResource02Loc03","localizedTextIdRewardNotify"
4,30,30,30,165674,165673,199768,643,100,0,6894,6895,0,0,0,0,17332,0,0,0,17333,0,0,0,0,0,0,0,223182
5,20,20,20,199769,199770,199771,644,100,0,6894,6895,12834,0,0,0,17332,0,0,0,17333,0,0,0,0,0,0,0,223183
6,0,50,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17,31,22,201137,201138,201139,1215,70,0,14401,14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315744
10,0,100,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,35,25,35,201134,201135,201136,583,95,0,14402,14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366369
12,60,24,20,201131,201132,201133,619,104,0,14401,14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352714
13,22,48,16,201082,201083,201084,459,85,0,14402,14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322509
18,25,49,26,201140,201141,201142,455,100,0,14401,14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324483
20,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,39,49,49,201154,201155,201156,993,137,0,14404,14403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347402
22,36,61,63,201157,201158,201159,1011,160,0,14403,14404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347415
23,29,44,54,201160,201161,201162,126,127,0,14404,14403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344868
24,29,87,47,201163,201164,201165,121,163,0,14403,14404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347409
25,0,0,3,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,98,92,94,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,200946,593,4,0,14400,0,0,0,0,0,17542,17543,17544,0,0,0,0,0,0,0,0,0,381103
47,0,0,0,0,200857,0,602,1,0,14400,0,0,0,0,0,13609,0,0,0,0,0,0,0,0,0,0,0,381105
48,0,0,0,0,201001,0,597,4,0,14400,0,0,0,0,0,17542,17543,17544,0,0,0,0,0,0,0,0,0,381107
49,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,17,67,20,201143,201144,201145,463,104,0,14402,14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330057
62,32,90,106,201151,201152,201153,1345,228,0,14409,14410,14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326915
67,32,90,106,201148,201149,201150,141,228,0,14409,14410,14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326916
102,0,0,0,0,208906,0,1217,3,0,14400,0,0,0,0,0,18449,18450,18451,18452,0,0,0,0,0,0,0,0,381133
103,59,79,81,208921,208922,208923,143,219,0,14410,14409,14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326917
104,0,0,0,350689,209285,0,1218,3,0,14400,0,0,0,0,0,18449,18450,18451,18452,0,0,0,0,0,0,0,0,381136
106,0,0,0,0,212800,0,1219,1,0,14400,0,0,0,0,0,18449,18450,18451,18452,0,0,0,0,0,0,0,0,381137
108,46,49,63,213224,213225,213226,1228,158,0,14403,14404,0,0,0,0,0,0,0,0,18768,18770,18769,18771,0,0,0,0,352422
116,0,0,0,313829,225912,313830,1305,4,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225913
128,0,0,0,313833,229254,313834,1309,3,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313828
130,0,0,0,313831,229230,313832,1307,2,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229231
132,69,94,86,229368,229369,229370,203,249,0,14411,14410,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326918
133,45,63,43,230055,230056,230057,697,151,0,14404,14403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352426
142,69,94,86,231025,231026,231027,203,249,0,14411,14410,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326919
153,0,0,0,491715,491716,491717,1415,3,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381145
154,0,0,0,491720,491721,491722,1416,3,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381147
155,0,0,0,491724,491725,491726,1419,3,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381148
162,37,63,48,249133,249134,249135,1302,148,0,14403,14404,0,0,0,0,22402,22399,22400,22401,22402,22399,22400,22401,0,0,0,0,360472
163,75,112,128,249155,249156,249157,1412,315,0,14419,14418,14406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377398
164,75,112,128,249869,249870,249871,1412,315,0,14419,14418,14406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377399
168,80,149,28,252176,252177,252178,1405,257,0,14414,14412,14413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447896
174,27,35,30,263130,263131,263132,1557,92,0,14401,14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417531
176,20,35,33,273040,273041,273042,78,88,0,14402,14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319747
177,33,84,33,360766,360767,360768,1303,150,0,14404,14403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360771
178,14,60,22,302825,302826,302827,79,96,0,14402,14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321722
180,0,0,50,0,0,0,1479,20,0,14122,0,0,0,0,0,24921,0,0,0,0,0,0,0,0,0,0,0,0
186,24,48,33,294255,294256,294259,1580,105,0,14402,14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420170
187,25,37,28,294510,294511,294512,75,90,0,14401,14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321723
190,18,64,25,301864,301865,301866,1675,107,0,14401,14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341626
196,59,79,81,310759,310760,310761,143,219,0,14410,14409,14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326922
197,22,87,47,312247,312248,312249,121,156,0,14403,14404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,83,188,148,316037,316038,316039,1890,419,0,14417,14415,14422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316159
202,83,188,148,316251,316252,316253,1890,419,0,14417,14415,14422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316254
213,64,218,142,342066,342067,342068,1928,424,0,14422,14417,14415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342073
214,64,218,142,342195,342196,342197,1928,424,0,14422,14417,14415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342198
222,104,228,180,353731,353732,353733,2067,512,0,14407,14421,14423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439623
