"ID","item2Id","flags"
1,12843,0
2,13091,0
3,12855,0
4,13365,1
5,13366,1
6,13367,1
7,13368,1
8,13369,1
12,13415,1
14,14694,0
15,14695,1
16,14696,1
17,14697,1
18,14698,1
19,14709,1
20,14710,1
21,14711,1
22,15062,1
23,15473,1
24,15472,1
25,15471,1
26,15470,1
27,15469,1
28,15484,1
29,15485,1
30,15486,1
31,15487,1
32,15488,1
33,15489,1
34,15490,1
35,15491,1
36,15492,1
37,15493,1
38,15494,1
39,15495,1
40,15496,1
41,15497,1
42,15498,1
43,15499,1
44,15500,1
45,15501,1
46,15502,1
47,15503,1
48,15504,1
49,15505,1
50,15506,1
51,15507,1
52,15775,1
53,13104,0
54,17247,0
55,17377,1
56,17378,1
57,17630,1
59,18061,1
60,18076,1
61,19232,1
62,19233,1
63,19234,1
64,19235,1
65,19236,1
66,19252,1
67,19237,1
68,19238,1
69,19239,1
70,19240,1
71,19241,1
72,19253,1
73,19247,1
74,19248,1
75,19249,1
76,19250,1
77,19251,1
78,19255,1
79,19242,1
80,19243,1
81,19244,1
82,19245,1
83,19246,1
84,19254,1
85,19334,1
86,19335,1
87,19336,1
88,19337,1
89,19338,1
90,20487,1
91,20486,1
92,20485,1
96,22121,1
97,22120,1
98,22119,1
100,22096,0
101,22422,1
102,23541,1
106,27314,1
107,27315,1
108,27316,1
109,27317,1
110,27318,1
111,27319,1
112,27320,1
113,27321,1
114,27322,1
115,27323,1
116,27324,1
117,27325,1
118,27326,1
119,27327,1
120,27328,1
121,27329,1
122,27330,1
123,27331,1
124,27332,1
125,27333,1
126,27334,1
127,27335,1
128,27336,1
129,27337,1
130,27338,1
131,27339,1
132,27340,1
133,27341,1
134,27342,1
135,27343,1
136,27344,1
137,27353,1
138,27354,1
139,27355,1
140,27356,1
141,27357,1
142,27358,1
143,27359,1
144,27360,1
145,27361,1
146,27362,1
147,27363,1
148,27364,1
149,27365,1
150,27366,1
151,27367,1
152,27368,1
153,27369,1
154,27370,1
155,27493,1
156,27562,1
157,27563,1
158,27568,1
159,27567,1
160,27566,1
161,27564,1
162,27989,1
163,27990,1
164,27991,1
165,27992,1
166,27993,1
167,28282,1
168,27565,1
169,29608,1
170,29610,1
171,29663,1
172,29666,1
173,30399,1
174,30400,1
175,30401,1
176,30402,1
177,30403,1
178,30404,1
179,30405,1
180,30406,1
181,30407,1
182,30408,1
183,30409,1
184,30410,1
185,30411,1
186,30412,1
187,30413,1
188,30414,1
189,30415,1
190,30416,1
191,30417,1
192,30418,1
193,30419,1
194,30420,1
195,30421,1
196,30422,1
197,30423,1
198,30424,1
199,30425,1
200,30426,1
201,30427,1
202,30428,1
203,30429,1
204,30430,1
205,30431,1
206,30432,1
207,30433,1
208,30434,1
209,30435,1
210,30436,1
211,30437,1
212,30438,1
213,30439,1
214,30440,1
215,30441,1
216,30442,1
217,30443,1
218,30444,1
219,30445,1
220,30446,1
221,30447,1
222,30448,1
223,30449,1
224,30450,1
225,30451,1
226,30452,1
227,30453,1
228,30454,1
229,30455,1
230,30456,1
231,30457,1
232,30458,1
233,31444,1
234,31476,1
235,31477,1
236,31478,1
237,32209,1
238,32210,1
239,32211,1
240,32212,1
241,32213,1
242,32214,1
243,32215,1
244,32216,1
245,32217,1
246,32218,1
247,32219,1
248,32222,1
249,32221,1
250,32223,1
251,32220,1
252,32224,1
253,32225,1
254,32226,1
255,32227,1
256,32228,1
257,32895,0
258,33856,1
259,34057,0
260,37106,1
261,37107,1
262,37097,1
263,37108,1
264,9939,1
265,9954,1
266,9944,1
267,9955,1
268,26296,1
269,26334,1
270,16353,1
271,13508,1
272,15719,1
273,13512,1
274,16327,1
275,13516,1
276,44100,1
277,44095,1
278,38317,1
279,38318,1
280,38545,1
281,38550,1
282,38549,1
283,38548,1
284,38547,1
285,38546,1
286,38555,1
287,38554,1
288,38553,1
289,38552,1
290,38551,1
291,39312,1
292,39313,1
293,39314,1
294,39315,1
295,39316,1
296,39317,1
297,39318,1
298,39319,1
299,39320,1
300,39321,1
301,39322,1
302,40096,1
303,40097,1
304,40691,1
305,40707,1
306,40708,1
307,40709,1
308,40813,1
309,40911,1
310,40912,1
311,40913,1
312,40914,1
313,40915,1
314,40916,1
315,41425,1
316,41464,1
317,41465,1
318,41460,1
319,41461,1
320,41462,1
321,41463,1
322,41458,1
323,41459,1
324,41845,1
325,41983,1
326,41984,1
327,41985,1
328,42006,0
329,41480,0
330,41481,0
331,41482,0
332,42439,1
333,42670,1
334,42671,1
335,42672,1
336,42673,1
337,42674,1
338,42675,1
339,42676,1
340,42677,1
341,42678,1
342,42679,1
343,42684,1
344,42683,1
345,42682,1
346,42681,1
347,42680,1
348,42685,1
349,42755,1
350,42995,0
351,42996,0
352,42997,0
353,42998,0
354,42999,0
355,43000,0
356,43001,0
357,43002,0
358,43003,0
359,43004,0
360,43005,0
361,43006,0
362,43007,0
363,43008,0
364,43009,0
365,43010,0
366,43011,0
367,43012,0
368,43013,0
369,43014,0
370,38292,1
371,44091,1
372,44092,1
373,44093,1
374,44094,1
375,38291,1
376,44096,1
377,44097,1
378,44098,1
379,44099,1
381,44431,0
382,44432,0
383,44433,0
384,44434,0
385,44538,1
386,44359,1
388,44845,1
389,44855,1
390,44856,1
391,44857,1
392,44858,1
393,44861,1
394,44862,1
395,44951,1
396,44952,1
397,45372,1
398,45499,1
399,45500,1
400,45501,1
401,45502,1
402,45495,1
403,45496,1
404,45497,1
405,45498,1
406,46871,1
407,47155,1
408,47453,1
409,47454,1
410,47455,1
411,47456,1
412,27582,0
413,27577,0
414,27572,0
415,27573,0
416,14628,0
417,47806,0
418,48057,1
419,48058,1
420,48059,1
421,48060,1
422,48885,1
423,48886,1
424,49430,1
425,49448,1
426,49460,1
427,49461,1
428,49462,1
429,49463,1
430,49464,1
431,49465,1
432,49466,1
433,49467,1
434,49470,1
438,49685,1
439,49745,1
440,49787,1
441,49789,1
442,49993,1
443,49994,1
444,49995,1
445,49996,1
446,49997,1
447,49998,1
448,49999,1
449,50000,1
453,50025,1
454,50026,1
455,50028,1
462,50056,1
463,50057,1
464,50058,1
465,50059,1
466,50060,1
467,50061,1
468,50062,1
469,50063,1
470,50064,1
471,50065,1
472,50066,1
473,50067,1
474,50068,1
475,50069,1
476,50070,1
477,50071,1
478,50072,1
479,50073,1
480,50074,1
493,50377,1
494,50396,1
495,50409,1
496,50719,1
497,50720,1
498,49674,1
499,53684,1
500,53685,1
501,53686,1
502,54141,1
503,54142,1
504,54143,1
505,55179,1
506,55396,1
507,55397,1
508,55398,1
509,71833,1
510,71834,1
511,71870,1
512,71871,1
513,71872,1
514,71873,1
515,71874,1
516,71876,1
517,72143,1
518,72415,1
519,72416,1
520,72417,1
523,73648,1
524,73649,1
525,73650,1
526,73651,1
527,73652,1
528,73653,1
529,73654,1
530,73655,1
531,73656,1
532,73657,1
533,73658,1
534,73659,1
535,73660,1
536,73661,1
537,73662,1
538,73663,1
539,73707,1
540,73722,1
541,73721,1
542,73719,1
543,73720,1
544,73717,1
545,73718,1
546,73728,1
547,73729,1
548,73731,1
549,73732,1
550,73733,1
553,73833,1
554,73834,1
555,74048,1
556,74049,1
557,74050,1
558,74051,1
559,74052,1
560,74053,1
561,74054,1
562,74055,1
563,74056,1
564,74057,1
565,74058,1
566,74059,1
567,74238,1
568,74270,1
569,74271,1
598,74336,1
599,74349,1
600,74350,1
601,74351,1
602,74352,1
603,74353,1
604,74354,1
605,74355,1
606,74356,1
607,74357,1
608,74358,1
609,74359,1
610,74360,1
611,74361,1
612,74362,1
613,74363,1
614,74364,1
615,74365,1
616,74366,1
617,74367,1
618,74462,1
619,74485,1
620,74486,1
621,74487,1
622,74488,1
623,74489,1
624,74490,1
625,74491,1
626,74492,1
627,74493,1
628,74494,1
629,74495,1
630,74496,1
631,74497,1
632,74498,1
633,74499,1
634,74500,1
635,74501,1
636,74502,1
637,74503,1
638,74504,1
639,74505,1
640,74506,1
641,74507,1
642,74508,1
643,74509,1
644,74510,1
645,74512,1
646,74513,1
647,74514,1
648,74515,1
649,74516,1
650,74517,1
651,74518,1
652,74519,1
653,74520,1
654,74521,1
655,74706,1
656,74694,1
657,74756,1
658,74763,1
659,74899,1
660,74906,1
661,74913,1
662,74920,1
663,74927,1
664,74945,1
665,74952,1
666,74959,1
667,74966,1
668,74973,1
669,74980,1
670,75001,1
671,74994,1
672,74987,1
673,75008,1
674,75010,1
675,75011,1
676,75012,1
677,75019,1
678,75026,1
679,75033,1
680,77651,1
681,77670,1
682,77677,1
683,77684,1
684,77718,1
685,77719,1
686,77721,1
687,77722,1
688,77723,1
689,80710,1
690,80875,1
691,80876,3
692,81062,1
693,80877,3
694,80878,3
695,80879,3
696,80880,3
697,80881,3
698,80882,3
699,80883,3
700,80884,3
701,81222,1
702,81265,1
704,81900,1
705,81906,1
707,83610,1
708,83615,1
709,83632,1
710,83655,1
711,83661,1
712,83616,1
713,83666,0
714,83636,0
715,83669,1
716,83674,1
717,83675,1
718,83676,1
719,83715,1
720,83718,1
721,83750,1
722,83751,1
723,83752,1
724,83753,1
725,83754,1
726,83755,1
727,83756,1
728,83757,1
729,83758,1
730,83759,1
731,83760,1
732,83761,1
733,83762,1
734,84016,1
735,83634,1
736,83667,1
737,83618,1
738,84300,1
739,84301,1
740,84601,1
741,84602,1
742,84603,1
744,84619,1
745,84620,1
746,84622,1
747,81269,1
748,84623,1
749,84624,1
750,84625,1
751,84626,1
752,84627,1
753,84766,1
754,84758,1
755,84759,1
756,84760,1
757,84761,1
758,84762,1
759,84698,1
760,84722,1
761,84726,1
762,84734,1
763,84738,1
764,84699,1
765,84723,1
766,84727,1
767,84735,1
768,84739,1
793,84803,1
794,84809,1
795,84830,1
796,84831,1
797,84832,1
798,84833,1
799,84834,1
800,84835,1
801,84836,1
802,84837,1
803,84838,1
804,84839,1
805,84840,1
806,84841,1
807,84842,1
808,84843,1
809,84844,1
810,84845,1
811,84846,1
812,84847,1
813,84848,1
814,84849,1
815,84850,1
816,84851,1
817,84852,1
818,84853,1
819,84854,1
820,84855,1
821,84856,1
822,84857,1
823,84858,1
824,84859,1
825,84860,1
826,84861,1
827,84862,1
828,84863,1
829,84864,1
830,84865,1
831,84866,1
832,84867,1
833,84868,1
834,84869,1
835,84870,1
836,84871,1
837,84872,1
838,84873,1
839,84874,1
840,84875,1
841,84876,1
842,84877,1
843,84878,1
844,84879,1
845,84880,1
846,84881,1
847,84882,1
848,84883,1
849,84884,1
850,84885,1
851,84886,1
852,84887,1
853,84888,1
854,84889,1
855,84890,1
856,84891,1
857,84892,1
858,84893,1
859,84894,1
860,84895,1
861,84896,1
862,84897,1
863,84898,1
864,84899,1
865,84900,1
866,84901,1
867,84902,1
868,84903,1
869,84904,1
870,84905,1
871,84906,1
872,84907,1
873,84908,1
874,84909,1
875,84910,1
876,84911,1
877,84912,1
878,84913,1
879,84914,1
880,84915,1
881,84916,1
882,84917,1
883,84918,1
884,84919,1
885,84920,1
886,84921,1
887,84922,1
888,84923,1
889,84924,1
890,84925,1
891,84926,1
892,84927,1
893,84928,1
894,84929,1
895,84930,1
896,84931,1
897,84932,1
898,84933,1
899,84934,1
900,84935,1
901,84936,1
902,84937,1
903,84938,1
904,84939,1
905,84940,1
906,84941,1
907,84942,1
908,84943,1
909,84944,1
910,84945,1
911,84946,1
912,84947,1
913,84948,1
914,84949,1
915,85030,1
