"ID","genericMapId","worldLocation2Id","localizedTextIdName","localizedTextIdDescription","spritePath","genericMapNodeTypeEnum","flags"
1,1,46324,585299,585300,"CRB_MinimapSprites:sprMM_VendorHouse",1,0
2,1,46325,585301,585302,"CRB_MinimapSprites:sprMM_TargetCreature",2,0
3,1,46326,585303,585304,"CRB_MinimapSprites:sprMM_TargetCreature",0,0
4,2,46372,586318,586319,"CRB_MinimapSprites:sprMM_VendorHouse",0,0
5,2,46373,586324,586325,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
6,2,46374,586346,586347,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
7,2,46375,586348,586349,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
8,2,46376,586350,586351,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
9,2,46377,586352,586353,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
10,2,46378,586354,586355,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
11,2,46379,586356,586357,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
12,2,46380,586358,586359,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
13,2,46381,586360,586361,"CRB_ActionBarFrameSprites:sprResourceBar_InterruptBroken",0,1
14,2,46382,586365,586366,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
15,2,46383,586367,586368,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
16,2,46384,586369,586370,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
17,2,46385,586371,586372,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
18,2,46386,586373,586374,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
19,2,46387,586375,586376,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
20,2,46388,586377,586378,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
21,2,46389,586379,586380,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
22,2,46390,586381,586382,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
23,2,46391,586383,586384,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
24,2,46392,586385,586386,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
25,2,46393,586387,586388,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
26,2,46394,586389,586390,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
27,2,46395,586391,586392,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
28,2,46396,586393,586394,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
29,2,46397,586395,586396,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
30,2,46398,586397,586398,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
31,2,46399,586399,586400,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
32,2,46400,586401,586402,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
33,2,46401,586403,586404,"CRB_MinimapSprites:sprMM_TargetCreature",0,1
34,2,46402,586408,586409,"CRB_Basekit:kitIcon_Gold_HazardObserver",0,1
35,2,46403,586410,586411,"CRB_Basekit:kitIcon_Gold_HazardObserver",0,1
36,2,46404,586412,586413,"CRB_Basekit:kitIcon_Gold_HazardObserver",0,1
37,2,46405,586414,586415,"CRB_Basekit:kitIcon_Gold_HazardObserver",0,1
38,2,46406,586417,586418,"CRB_Basekit:kitIcon_Gold_HazardObserver",0,1
39,2,46407,586419,586420,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
40,2,46408,586421,586422,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
41,2,46409,586423,586424,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
42,2,46410,586425,586426,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
43,2,46411,586427,586428,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
44,2,46412,586429,586430,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
45,2,46413,586431,586432,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
46,2,46414,586433,586434,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
47,2,46487,589194,589195,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
48,2,46488,589196,589197,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
49,2,46489,589198,589199,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
50,2,46490,589200,589201,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
51,2,46491,589202,589203,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
52,2,46492,589204,589205,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
53,2,46493,589206,589207,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
54,2,46494,589208,589209,"CRB_MinimapSprites:sprMM_Tradeskill",0,1
