"ID","item2Id","item2TypeId","item2CategoryId","item2FamilyId","virtualItemId","accountCurrencyTypeId","creature2IdChest","mass","soundEventId"
1,0,0,0,0,0,0,17512,1,0
2,0,0,0,0,0,0,19830,0,0
3,0,0,0,16,0,0,29352,0,0
4,0,0,0,5,0,0,19236,0,0
5,0,0,0,2,0,0,17514,0,0
6,0,0,0,1,0,0,17513,0,0
7,0,0,0,24,0,0,29207,0,0
8,0,0,0,27,0,0,18212,1,0
9,0,0,0,7,0,0,19059,1,0
10,0,46,0,0,0,0,19060,0,0
11,0,51,0,0,0,0,19071,0,0
12,0,45,0,0,0,0,19074,0,0
13,0,48,0,0,0,0,19075,0,0
14,0,0,0,25,0,0,17482,1,0
15,0,197,0,0,0,0,29168,0,0
16,0,0,0,0,0,0,19828,0,0
17,0,0,0,0,0,0,19829,0,0
18,0,0,0,0,0,0,19831,0,0
19,0,0,0,18,0,0,19236,0,0
20,0,198,104,27,0,0,21296,0,0
21,0,0,0,26,0,0,17513,0,0
22,0,213,104,27,0,0,26128,0,0
23,0,208,110,27,0,0,29167,0,0
24,0,219,110,27,0,0,27477,0,0
25,0,221,104,27,0,0,29162,0,0
26,0,47,0,0,0,0,29150,0,0
27,0,204,0,0,0,0,29151,0,0
28,0,79,0,0,0,0,29152,0,0
29,0,220,104,27,0,0,29163,0,0
30,0,270,0,0,0,0,29169,0,0
31,0,271,0,0,0,0,29170,0,0
32,0,264,0,0,0,0,19236,0,0
33,0,263,0,0,0,0,29153,0,0
34,0,262,0,0,0,0,29154,0,0
35,0,254,0,0,0,0,29052,0,0
36,0,255,0,0,0,0,29217,0,0
37,0,256,0,0,0,0,29245,0,0
38,0,258,0,0,0,0,29219,0,0
39,0,259,0,0,0,0,29220,0,0
40,0,260,0,0,0,0,29218,0,0
41,0,268,0,0,0,0,29164,0,0
42,0,269,0,0,0,0,29166,0,0
43,0,207,0,0,0,0,29165,0,0
44,0,184,0,0,0,0,29325,0,0
45,0,189,0,0,0,0,29326,0,0
46,0,186,0,0,0,0,29327,0,0
47,0,185,0,0,0,0,29328,0,0
48,0,187,0,0,0,0,29330,0,0
49,0,19,0,0,0,0,29331,0,0
50,0,15,0,0,0,0,29332,0,0
51,0,20,0,0,0,0,29333,0,0
52,0,17,0,0,0,0,29334,0,0
53,0,16,0,0,0,0,29335,0,0
54,0,18,0,0,0,0,29336,0,0
55,0,5,0,0,0,0,29337,0,0
56,0,1,0,0,0,0,29338,0,0
57,0,6,0,0,0,0,29339,0,0
