"ID","itemSourceId","item2TypeId","itemMinLevel","itemMaxLevel","itemDisplayId","icon"
1,1,352,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Fire"
2,1,353,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Water"
3,1,354,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Earth"
4,1,355,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Air"
5,1,356,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Life"
6,1,357,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Logic"
7,1,358,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Fusion"
8,1,404,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Steam"
9,1,405,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Magma"
10,1,406,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Smoke"
11,1,407,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Phoenix"
12,1,408,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Plasma"
13,1,409,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Clay"
14,1,410,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Mist"
15,1,411,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Blood"
16,1,412,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Ice"
17,1,413,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Sand"
18,1,414,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Floral"
19,1,415,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Metal"
20,1,416,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Zephyr"
21,1,417,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Lightning"
22,1,418,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Genetic"
23,2,419,5,999,0,"IconSprites:Icon_RunesElements_Icon_Rune_Set_Fire"
