"ID","binkMovieId","delayMs","localizedTextIdDisplayText"
80,3,1800,757605
81,3,4100,0
82,3,4567,757606
83,3,8400,757607
84,3,12933,757608
85,3,15867,757609
86,3,17500,757610
87,3,18833,0
88,3,19800,757611
89,3,22433,757612
90,3,25000,757613
91,3,26933,757614
92,3,29600,757615
93,3,31433,757616
94,3,35133,757617
95,3,36433,757618
96,3,38867,757619
97,3,42367,757620
98,3,44100,0
99,3,44900,757621
100,3,48233,757622
101,3,51333,757623
102,3,53800,757624
103,3,56267,757625
104,3,59600,757626
105,3,60267,757627
106,3,61867,757628
107,3,63000,757629
108,3,65300,757630
109,3,68700,757631
110,3,69600,757632
111,3,70500,757633
112,3,71400,0
113,3,73367,757634
114,3,74267,0
7,4,1200,757056
8,4,3033,757057
9,4,5833,757058
10,4,9333,757059
11,4,13200,0
12,4,13700,757060
13,4,15767,757061
14,4,18933,757062
15,4,21733,757063
16,4,25300,0
17,4,25933,757064
18,4,28467,757065
19,4,31967,757066
20,4,35467,0
21,4,35733,757067
22,4,41300,0
23,5,1433,757068
24,5,2733,0
25,5,3000,757069
26,5,4833,757070
27,5,7967,0
28,5,8867,757071
29,5,13533,0
30,5,14867,757072
31,5,16167,0
32,5,16667,757073
33,5,19433,0
34,5,19567,757074
35,5,23100,0
36,5,23700,757075
37,5,27233,757076
38,5,30267,757077
39,5,33300,0
40,5,34033,757078
41,5,37000,757079
42,5,41733,0
43,5,42133,757080
44,5,44667,757081
45,5,48667,0
