"ID","pathSettlerHubId"
1,0
2,0
3,0
6,0
7,0
9,0
11,0
12,0
15,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
28,0
32,0
36,0
37,0
38,0
41,0
56,0
57,0
58,0
86,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
109,0
110,0
111,0
115,0
116,0
117,0
127,0
138,0
142,0
145,0
148,0
149,0
150,0
153,0
156,0
165,0
166,0
167,0
168,0
169,0
179,0
183,0
188,0
189,0
190,0
192,0
193,0
196,0
197,0
198,0
201,0
202,0
203,0
206,0
208,0
209,0
211,0
213,0
217,4
218,0
222,0
227,0
228,0
230,0
231,0
240,0
242,0
243,0
247,302
249,18
250,57
251,21
252,22
253,23
256,24
261,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
278,0
279,228
280,231
281,9
282,11
283,12
284,108
285,133
286,162
287,177
288,0
289,62
290,67
291,103
292,132
293,0
294,0
295,0
303,201
310,0
338,213
380,163
387,174
389,186
391,190
392,176
393,0
395,187
396,178
397,168
398,288
400,291
401,234
402,0
403,0
407,0
408,0
409,0
410,0
411,164
412,0
413,0
414,289
415,222
416,293
417,294
418,0
419,295
420,297
421,0
422,0
423,303
424,304
425,214
426,202
427,0
429,0
433,0
434,0
435,0
436,0
