"ID","maxCount","flags","spell4IdPersistentBuff","characterTitleId","localizedTextIdName","localizedTextIdDescription","buttonIcon"
1,100,1,0,0,0,0,""
2,100,0,0,0,479115,479116,""
3,8,1,0,0,483856,483857,"IconSprites:Icon_ItemMisc_Icon_Store_Unlock_CostumeSlot"
4,1,1,0,0,508468,508469,""
5,1,1,0,0,520989,520990,""
6,1,1,70391,0,571137,571138,""
7,1,1,0,291,571139,571140,""
8,1,1,0,0,571461,571462,""
9,1,1,70391,294,571576,571577,""
10,1,3,0,0,582815,582816,""
12,12,0,0,0,731103,731552,"IconSprites:Icon_ItemMisc_GenericVoucher"
14,1,3,0,0,0,0,""
15,1,3,0,0,0,0,""
16,1,3,0,0,0,0,""
17,1,3,0,0,0,0,""
18,1,3,0,0,0,0,""
19,1,3,0,0,0,0,""
20,1,3,0,0,0,0,""
21,1,3,0,0,0,0,""
22,1,0,84024,0,721480,721481,""
23,150,0,0,0,684238,721671,"IconSprites:Icon_ItemMisc_GenericVoucher"
25,150,0,0,0,684470,721672,"IconSprites:Icon_ItemMisc_GenericVoucher"
26,2000,0,0,0,689709,721673,"IconSprites:Icon_ItemMisc_GenericVoucher"
27,8,0,0,0,690224,690753,"IconSprites:Icon_ItemMisc_GenericVoucher"
31,1,0,0,0,721594,721670,""
32,10,0,0,0,699658,721674,""
35,1,0,0,0,699757,721791,""
36,2000,0,0,0,700244,721793,"IconSprites:Icon_ItemMisc_Icon_Store_Unlock_CostumeDisplay"
37,1,0,0,0,700445,721794,""
38,1,0,0,0,700702,700703,""
39,10,0,0,0,701060,701061,""
41,1,0,0,0,721795,721796,""
42,10,0,0,0,721797,721798,""
43,10,0,0,0,721799,721800,""
44,1,0,0,0,721802,721801,""
45,1,0,0,0,721803,721804,""
46,1,0,0,0,732628,732629,""
48,3,0,0,0,740068,740069,""
49,1,2,0,0,740515,740516,""
55,1,0,0,410,746729,746730,""
56,1,0,0,411,746732,746733,""
57,1,0,0,412,746736,746737,""
58,1,0,0,413,746739,746740,""
59,1,0,0,414,746742,746743,""
60,1,0,0,416,748954,748955,""
61,1,0,0,0,756660,756661,"charactercreate:sprCharC_Finalize_RaceChua"
62,1,0,0,0,756662,756663,"charactercreate:sprCharC_Finalize_RaceAurinM"
63,1,2,0,0,757230,757231,""
64,1,0,0,422,757260,757261,""
65,1,2,0,0,0,0,""
66,1,2,0,0,0,0,""
67,1,2,0,0,0,0,""
68,1,2,0,0,0,0,""
69,1,2,0,0,0,0,""
70,1,2,0,0,0,0,""
71,1000,0,0,0,763236,763237,"IconSprites:Icon_ItemMisc_GenericVoucher"
72,1,2,0,0,0,0,""
73,1,2,0,0,0,0,""
74,1,0,0,0,770001,770002,"IconSprites:Icon_ItemMisc_GenericVoucher"
75,23,0,0,0,770006,770007,"IconSprites:Icon_ItemMisc_GenericVoucher"
