"id","name","hash","radius","soundBankId00","soundBankId01","soundBankId02","soundBankId03","soundBankId04","soundBankId05","soundBankId06","soundBankId07","flags","limitPriority"
111,"Stop_All_Delayed_Soft",569583137,0,15,0,0,0,0,0,0,0,0,0
113,"Stop_All_Soft",59600196,0,15,0,0,0,0,0,0,0,0,0
440,"SFX_Ambient_Play_DarkForest_Loop",3215051741,0,15,0,0,0,0,0,0,0,0,0
441,"Do_Not_Use",1609021764,0,15,0,0,0,0,0,0,0,0,0
443,"Play_BattleBot_Aggro",1815540296,40,15,0,0,0,0,0,0,0,0,0
444,"Play_BattleBot_Default_Attack_Shoot",2191227524,40,15,0,0,0,0,0,0,0,0,0
445,"Play_BattleBot_Default_Special01_Action_Foley",1286167909,40,15,0,0,0,0,0,0,0,0,0
446,"Play_Boulderback_Aggro",3593036187,40,15,0,0,0,0,0,0,0,0,0
447,"Play_Boulderback_Default_Attack",2192573789,40,15,0,0,0,0,0,0,0,0,0
448,"Play_Girok_Aggro",2476084421,40,15,0,0,0,0,0,0,0,0,0
449,"Play_Girok_Default_Attack",8187923,40,15,0,0,0,0,0,0,0,0,0
451,"Play_Impact_Blade_Medium",455621591,40,15,0,0,0,0,0,0,0,0,0
452,"Play_Impact_ClawPaw_Medium",1011310960,40,15,0,0,0,0,0,0,0,0,0
453,"Play_Impact_Punch_Medium",3920732581,15,15,0,0,0,0,0,0,0,0,0
454,"Play_Pumera_Aggro",216334377,0,15,0,0,0,0,0,0,0,0,0
455,"Play_Pumera_Default_Attack",3602655887,40,15,0,0,0,0,0,0,0,0,0
457,"Play_Roan_Aggro",2869853217,40,15,0,0,0,0,0,0,0,0,0
458,"Play_Roan_Default_Attack",529871991,40,15,0,0,0,0,0,0,0,0,0
459,"Play_SaboteurBot_Aggro",1602773989,40,15,0,0,0,0,0,0,0,0,0
460,"Play_SaboteurBot_Default_Attack",3837016819,40,15,0,0,0,0,0,0,0,0,0
461,"Play_SaboteurBot_Default_Attack_VAR_2",797392002,40,15,0,0,0,0,0,0,0,0,0
462,"Play_Skeetch_Aggro",1112877008,40,15,0,0,0,0,0,0,0,0,0
463,"Play_Skeetch_Default_Attack",1054187028,40,15,0,0,0,0,0,0,0,0,0
464,"Play_Skeetch_Default_Attack_VAR_yell",2307865327,40,15,0,0,0,0,0,0,0,0,0
465,"Play_Skeetch_Staff_Attack",2980902495,40,15,0,0,0,0,0,0,0,0,0
466,"Play_Skeetch_Staff_Attack_VAR_righthand",792339473,40,15,0,0,0,0,0,0,0,0,0
467,"Play_Skug_Default_Attack",3474103429,40,15,0,0,0,0,0,0,0,0,0
468,"Play_Vind_Aggro",976550472,40,15,0,0,0,0,0,0,0,0,0
469,"Play_Vind_Default_Attack",1818692348,40,15,0,0,0,0,0,0,0,0,0
470,"Play_Vind_Default_Attack_Spit",4124933029,40,15,0,0,0,0,0,0,0,0,0
471,"Play_Vulcarrion_Aggro",2848407924,40,15,0,0,0,0,0,0,0,0,0
472,"Play_Vulcarrion_Default_Attack",1155065072,40,15,0,0,0,0,0,0,0,0,0
473,"Play_Skug_Default_Attack_VAR_2",1249122008,40,15,0,0,0,0,0,0,0,0,0
474,"Play_Vulcarrion_Default_Attack_VAR_bite",2930205507,40,15,0,0,0,0,0,0,0,0,0
476,"Set_State_Intro_Music",1877013010,0,15,0,0,0,0,0,0,0,0,0
610,"Play_Ability_Fail",439642691,0,15,0,0,0,0,0,0,0,0,0
612,"Play_Quest_Accept",157199563,0,15,0,0,0,0,0,0,0,0,0
613,"Play_Quest_AllRequirementsMet",3399101782,0,15,0,0,0,0,0,0,0,0,0
614,"Play_Quest_Complete",2012464318,0,15,0,0,0,0,0,0,0,0,0
615,"Play_Quest_Continue",3603049380,0,15,0,0,0,0,0,0,0,0,0
616,"Play_Quest_Decline",32467739,0,15,0,0,0,0,0,0,0,0,0
617,"Play_Quest_Hover_Over_Button",1611409671,0,15,0,0,0,0,0,0,0,0,0
618,"Play_Quest_Item_Get",3298328959,0,15,0,0,0,0,0,0,0,0,0
620,"Play_Boulderback_Aggravator",2027945825,25,15,0,0,0,0,0,0,0,0,0
622,"Play_Camera_Snap",1514177854,25,15,0,0,0,0,0,0,0,0,0
624,"Play_Frenzy_VO",1183810882,25,15,0,0,0,0,0,0,0,0,0
625,"Play_Gathering_Metal",2596490541,25,15,0,0,0,0,0,0,0,0,0
626,"Play_Gathering_Plants",3217976714,25,15,0,0,0,0,0,0,0,0,0
632,"Play_Loot_Opening",4163533909,40,15,0,0,0,0,0,0,0,0,0
633,"Play_Rifle_ChargedShot_Shoot",3372479661,40,15,0,0,0,0,0,0,0,0,0
634,"Play_Rifle_Reload",191410604,40,15,0,0,0,0,0,0,0,0,0
635,"Play_Rifle_Shoot",1967888440,40,15,0,0,0,0,0,0,0,0,0
636,"Play_SmokeBomb",3734671069,25,15,0,0,0,0,0,0,0,0,0
638,"Play_Super_Jump",2329824122,25,15,0,0,0,0,0,0,0,0,0
639,"Play_Use_Magic_Item",3743269003,25,15,0,0,0,0,0,0,0,0,0
640,"Play_Footstep_MediumHard_Dirt",1037575215,40,15,0,0,0,0,0,0,0,0,0
641,"Play_Footstep_MediumHard_Grass",2692114122,40,15,0,0,0,0,0,0,0,0,0
642,"Play_Footstep_MediumHard_Snow",4042012029,40,15,0,0,0,0,0,0,0,0,0
643,"Play_Footstep_MediumHard_Stone",3093299307,40,15,0,0,0,0,0,0,0,0,0
644,"Play_Footstep_JumpLand_MediumHard_Dirt",2336499771,40,15,0,0,0,0,0,0,0,0,0
645,"Play_Footstep_JumpLand_MediumHard_Grass",3737143206,40,15,0,0,0,0,0,0,0,0,0
646,"Play_Footstep_JumpLand_MediumHard_Snow",1144788529,40,15,0,0,0,0,0,0,0,0,0
647,"Play_Footstep_JumpLand_MediumHard_Stone",2736706815,40,15,0,0,0,0,0,0,0,0,0
648,"Play_Footstep_JumpStart_MediumHard_Dirt",422172750,40,15,0,0,0,0,0,0,0,0,0
649,"Play_Footstep_JumpStart_MediumHard_Grass",603185597,40,15,0,0,0,0,0,0,0,0,0
650,"Play_Footstep_JumpStart_MediumHard_Snow",876938336,40,15,0,0,0,0,0,0,0,0,0
651,"Play_Footstep_JumpStart_MediumHard_Stone",2136709608,40,15,0,0,0,0,0,0,0,0,0
656,"Play_Garage_Door_Container",2477045632,0,15,0,0,0,0,0,0,0,0,0
658,"Release_Garage_Door_Container",3769201171,0,15,0,0,0,0,0,0,0,0,0
660,"Play_BattleBot_Default_Death",2575593134,40,15,0,0,0,0,0,0,0,0,0
661,"Play_BattleBot_Default_Walk",2576047347,40,15,0,0,0,0,0,0,0,0,0
662,"Play_Boulderback_Default_Burrow_Down_Var01",2143461616,40,15,0,0,0,0,0,0,0,0,0
663,"Play_Boulderback_Default_Burrow_Up_Var01",2138474659,40,15,0,0,0,0,0,0,0,0,0
665,"Play_Boulderback_Default_Death_Var01",3764302622,40,15,0,0,0,0,0,0,0,0,0
667,"Play_Girok_Default_Ready",3516024584,40,15,0,0,0,0,0,0,0,0,0
668,"Play_Girok_Default_Special01_Action",3280093654,40,15,0,0,0,0,0,0,0,0,0
669,"Play_Girok_Default_Special01_Charge_Start",3043034449,40,15,0,0,0,0,0,0,0,0,0
670,"Play_Pumera_Default_Special01_Action",2195945138,40,15,0,0,0,0,0,0,0,0,0
671,"Play_Pumera_Default_Special01_Charge",3432517664,40,15,0,0,0,0,0,0,0,0,0
672,"Play_Roan_Default_Death_Var01",348355312,40,15,0,0,0,0,0,0,0,0,0
673,"Play_Roan_Default_Dodge_Var01",3796399067,40,15,0,0,0,0,0,0,0,0,0
