"ID","worldLocation2Id","localizedTextIdName"
1,12354,685536
2,12361,685537
3,12381,685539
4,12725,685540
5,12809,685541
6,16449,685542
7,13194,685543
8,13276,685544
9,16973,685545
10,29641,685548
11,23392,685552
12,23359,685575
13,23348,685576
14,23564,685577
15,25095,685579
16,25085,685580
17,25076,685581
18,23597,685601
19,23618,685602
20,23543,685604
21,12976,685777
22,39613,685980
23,7726,686825
24,29526,686827
25,21065,686829
26,21026,686830
27,21027,686833
28,42149,686835
29,38571,686836
30,38100,686837
31,17819,686842
32,17803,686850
33,17901,686854
34,6846,686991
35,49374,686992
36,7214,686993
37,7717,686994
38,18378,686995
39,18772,686996
40,18137,686997
41,17633,686998
42,19476,686999
43,19619,687005
44,19417,687006
45,8759,687007
46,8384,687028
47,23404,687438
48,23560,687439
49,23430,687440
50,23427,687441
51,25300,687442
52,25234,687444
53,25991,687455
54,26686,687479
55,25828,687484
56,26686,687487
57,25301,687493
58,26352,687563
59,18381,687565
60,18111,687569
61,9588,687570
62,26562,687573
63,9806,687574
64,20195,687577
65,20051,687578
66,10017,687582
67,9980,687583
68,21282,687589
69,20977,687590
70,22077,687608
71,21390,687609
72,23366,687610
73,23666,687611
74,24072,687612
75,23935,687613
76,14282,688028
77,12943,689113
78,12943,689119
79,12912,689120
80,12873,689127
81,13146,689135
82,29604,689137
83,13040,689146
84,13185,689154
85,16048,689163
86,15989,689164
87,12365,689167
88,27396,689172
89,12330,689177
90,12330,689178
91,12601,689179
92,27777,689182
93,28060,689183
94,12630,689184
95,12629,689188
96,16237,689190
97,14825,689657
98,14886,689658
99,14790,689659
100,14899,689660
101,0,689729
102,15884,689882
103,14896,689976
104,16317,689977
105,16450,690014
106,16455,690017
107,16325,690025
108,16344,690029
109,27987,690134
110,18178,690135
111,17752,690143
112,17774,690138
113,17751,690141
114,19549,690153
115,19428,690156
116,19429,690159
117,19445,690161
118,19459,690163
119,31150,690285
120,30594,690286
121,30172,690287
122,30390,690289
123,30734,690292
124,30804,690294
125,30079,690295
126,30182,690296
127,30391,690297
128,30735,690299
129,32082,690300
130,30083,690305
131,23054,690308
132,22619,690309
133,21178,690310
134,22217,690311
135,23057,690314
136,21016,690315
137,21179,690316
138,39308,690331
139,21032,690333
140,21176,690345
141,22084,690346
142,21198,690349
143,21198,690351
144,32291,690362
145,32331,690368
146,38614,690369
147,50532,690375
148,30107,690376
149,30881,690377
150,45025,690408
151,32170,690409
152,30395,690410
153,31064,690413
154,32100,690422
155,32172,690423
156,27159,690455
157,27311,690456
158,27161,690459
159,27528,690460
160,27459,690464
161,29612,690465
162,28382,690466
163,28227,690467
164,28178,690468
165,28178,690469
166,34983,690470
167,41891,690713
168,32160,690715
169,32161,690729
170,32164,690730
171,50537,690731
172,39564,690732
174,41890,690733
175,30157,690734
176,30158,690736
177,31564,690737
178,31135,690738
179,31134,690739
180,50540,690742
181,29998,690743
182,34478,690746
183,44567,690748
184,50539,690750
185,32368,690752
186,43073,690782
187,34478,690787
188,35384,690796
189,34478,690797
190,44568,690800
191,34478,690808
192,42881,690826
193,41391,690827
194,41547,690834
195,42921,690836
196,40798,690839
197,41444,690840
198,43197,690895
199,43094,690896
200,43052,690897
201,43362,690898
202,43094,690899
203,46642,690907
204,46642,690908
205,26512,690935
206,26515,690936
207,28771,690937
208,28770,690938
209,43476,739845
210,51289,739846
