"ID","publicEventId","publicEventObjectiveFlags","publicEventObjectiveTypeSpecificFlags","worldLocation2Id","publicEventTeamId","localizedTextId","localizedTextIdOtherTeam","localizedTextIdShort","localizedTextIdOtherTeamShort","publicEventObjectiveTypeEnum","count","objectId","failureTimeMs","targetGroupIdRewardPane","publicEventObjectiveCategoryEnum","liveEventIdCounter","publicEventObjectiveIdParent","questDirectionId","medalPointValue","localizedTextIdParticipantAdd","localizedTextIdStart","displayOrder"
1,1,12417,0,14802,1,173566,0,173567,0,5,5,0,60000,0,0,0,0,0,0,0,0,0
2,1,1152,0,14802,1,173568,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,0,0
3,2,1,0,14803,1,173569,0,173570,0,2,5,12835,0,0,0,0,0,0,0,0,0,0
4,2,33,0,14803,1,173571,0,173572,0,3,5,2011,0,0,0,0,0,0,0,0,0,0
5,4,16385,0,14805,1,173588,0,173589,0,4,4,2012,0,0,0,0,0,0,0,0,0,0
6,4,65537,0,14806,1,173590,0,173591,0,7,10,1,60000,0,0,0,0,0,0,0,0,0
7,4,16,0,14805,1,173592,0,173593,0,6,0,2290,0,0,0,0,0,0,0,0,0,0
8,3,4,0,14809,1,173594,0,173595,0,0,5,3696,0,0,0,0,0,0,0,0,0,0
9,3,16,0,14809,1,173601,0,173602,0,0,1,2104,60000,0,0,0,0,0,0,0,0,0
10,5,17,0,0,1,175219,0,175220,0,8,5,0,0,0,0,0,0,0,0,0,0,0
11,6,9,0,15071,2,175221,314074,175222,314075,2,3,12930,0,0,0,0,0,0,0,0,0,0
12,6,9,0,15071,3,175223,314081,175224,314082,2,3,12930,0,0,0,0,0,0,0,0,0,0
13,7,5,0,0,1,176293,0,176294,0,8,20,0,0,0,0,0,0,0,0,0,0,0
14,7,81,0,0,1,176309,0,176310,0,0,1,1881,0,0,0,0,0,0,0,0,0,0
15,103,65537,0,14230,1,176317,0,176318,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
16,33,65537,0,14231,1,176802,0,176803,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
17,34,65537,0,14232,1,176804,0,176805,0,17,0,3881,0,0,0,0,0,0,0,0,0,0
18,50,65537,0,14233,1,176806,0,176807,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
19,41,65537,0,14234,1,176809,0,176810,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
20,101,65537,0,14235,1,176811,0,176812,0,17,0,3881,0,0,0,0,0,0,0,0,0,0
21,38,65537,0,14236,1,176813,0,176814,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
22,35,65537,0,14237,1,176816,0,176817,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
23,104,65537,0,14238,1,176818,0,176819,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
24,79,65537,0,0,1,176820,0,176821,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
25,102,65537,0,14243,1,176822,0,176823,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
26,36,65537,0,14244,1,176825,0,176826,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
27,37,65537,0,14245,1,176827,0,176828,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
28,77,65537,0,46418,1,176829,0,176830,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
29,40,65537,0,14247,1,176831,0,176832,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
30,48,65537,0,14248,1,176833,0,176834,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
31,51,65537,0,14250,1,176835,0,176836,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
32,55,65537,0,14251,1,176837,0,176838,0,17,1,3881,0,0,0,0,0,0,0,0,0,0
