"ID","localizedTextId","localizedTextIdFullName","achievementCategoryIdParent"
1,17809,0,0
2,17810,0,0
3,17811,0,0
4,17812,0,0
5,17813,0,0
7,17815,0,0
8,17816,0,0
9,106311,0,0
10,170441,0,0
11,202052,0,0
12,223900,0,0
46,273472,0,0
65,359959,0,0
78,412298,0,0
161,493487,0,0
162,493488,0,0
163,493489,0,0
164,493856,0,0
175,494922,0,0
281,539354,0,0
284,544488,0,0
290,553214,0,0
291,553372,0,0
307,629827,0,0
331,681566,0,0
362,768355,0,0
191,502425,0,1
192,502428,0,1
193,502431,0,1
194,502432,0,1
195,502433,0,1
196,502434,0,1
197,502435,0,1
198,502436,0,1
199,502437,0,1
200,502438,0,1
201,502439,0,1
202,502440,0,1
203,502441,0,1
204,502442,0,1
205,502443,0,1
206,502660,0,1
207,502662,0,1
299,615298,0,1
313,631406,0,1
319,632517,0,1
338,682921,0,1
176,496786,0,3
177,496787,0,3
178,496789,0,3
179,496791,0,3
180,496792,0,3
181,496799,0,3
182,496826,0,3
183,496835,0,3
184,496841,0,3
185,496850,0,3
186,496860,0,3
187,496867,0,3
188,496875,0,3
189,496877,0,3
190,497121,0,3
298,615297,0,3
312,631401,0,3
318,632516,0,3
337,682920,0,3
208,503168,0,4
209,503169,0,4
210,503175,0,4
211,503176,0,4
212,503177,0,4
213,503178,0,4
214,503179,0,4
215,503180,0,4
216,503184,0,4
217,503185,0,4
218,503186,0,4
219,503188,0,4
220,503189,0,4
221,503190,0,4
222,503191,0,4
282,542861,0,4
283,542863,0,4
295,589850,0,4
300,615299,0,4
310,631396,0,4
320,632518,0,4
327,654810,0,4
340,682925,0,4
350,728016,0,4
13,254003,0,5
14,254004,0,5
15,254005,0,5
16,254006,0,5
17,254007,0,5
18,254008,0,5
158,478528,0,5
159,478529,0,5
160,478530,0,5
349,708746,0,5
69,360006,0,7
70,360007,0,7
71,360008,0,7
156,435287,0,7
244,504360,0,11
245,504361,0,11
246,504362,0,11
247,504363,0,11
248,504364,0,11
249,504366,0,11
250,504368,0,11
251,504369,0,11
252,504370,0,11
253,504371,0,11
254,504372,0,11
302,615309,0,11
309,631395,0,11
322,632522,0,11
339,682923,0,11
351,730571,0,12
352,730594,0,12
19,254009,0,13
20,254010,0,13
21,254011,0,13
22,254012,0,13
23,254013,0,13
343,705307,0,13
25,254015,0,14
26,254016,0,14
27,254017,0,14
28,254018,0,14
29,254019,0,14
344,705308,0,14
31,254021,0,15
32,254022,0,15
33,254023,0,15
41,261669,0,15
42,261670,0,15
345,705309,0,15
34,254025,0,16
35,254026,0,16
43,261671,0,16
44,261672,0,16
45,261673,0,16
346,705310,0,16
36,254027,0,17
37,254028,0,17
57,299031,0,17
58,299032,0,17
59,299033,0,17
355,741393,0,17
38,254029,0,18
39,254030,0,18
54,293321,0,18
55,293322,0,18
56,293323,0,18
304,620704,0,18
47,273474,0,46
157,452673,0,46
76,407810,0,47
347,705311,0,56
66,359960,0,65
166,493858,0,65
169,493863,0,65
172,493872,0,65
316,631456,0,65
317,631457,0,65
361,767384,0,65
67,359961,0,66
68,359962,0,66
153,435062,0,69
154,435063,0,69
155,435064,0,69
149,435053,0,70
150,435059,0,70
285,544557,0,70
79,412299,0,78
82,412305,0,78
85,412308,0,78
88,412317,0,78
91,412322,0,78
94,412326,0,78
330,677896,0,78
80,412300,0,79
81,412301,0,79
83,412303,0,82
84,412304,0,82
86,412309,0,85
87,412311,0,85
89,412319,0,88
90,412320,0,88
92,412323,0,91
93,412324,0,91
95,412328,0,94
96,412329,0,94
255,504374,0,161
256,504375,0,161
257,504377,0,161
258,504378,0,161
259,504379,0,161
260,504380,0,161
261,504381,0,161
262,504382,0,161
263,504386,0,161
264,504387,0,161
265,504388,0,161
266,504389,0,161
267,504390,0,161
268,504391,0,161
269,504392,0,161
272,504410,0,161
273,504411,0,161
303,615310,0,161
311,631399,0,161
323,632523,0,161
341,682926,0,161
274,505771,0,162
275,505791,0,162
276,505796,0,162
277,505797,0,162
278,505799,0,162
279,505802,0,162
329,672685,0,162
360,760875,0,162
224,504204,0,163
225,504205,0,163
226,504206,0,163
227,504207,0,163
228,504215,0,163
229,504223,0,163
230,504224,0,163
231,504225,0,163
232,504227,0,163
233,504228,0,163
234,504229,0,163
235,504230,0,163
236,504231,0,163
237,504232,0,163
238,504233,0,163
301,615302,0,163
321,632521,0,163
342,682927,0,163
165,493857,0,164
239,504316,0,164
297,608840,0,164
315,631455,0,164
325,648647,0,164
328,661374,0,164
359,758277,0,164
167,493860,0,166
168,493862,0,166
170,493864,0,169
171,493865,0,169
173,493874,0,172
174,493875,0,172
326,649305,0,284
308,629828,0,307
348,705533,0,307
354,735177,0,307
356,743722,0,307
357,745129,0,307
358,745147,0,307
314,631453,0,317
353,732451,0,317
332,681569,0,331
333,681570,0,331
334,681987,0,331
286,551077,0,349
287,551078,0,349
288,551080,0,349
289,551082,0,349
293,559765,0,349
294,559766,0,349
