"ID","tutorialId","page","tutorialLayoutId","localizedTextIdTitle","localizedTextIdBody00","localizedTextIdBody01","localizedTextIdBody02","sprite00","sprite01","sprite02","soundEventId"
1,1,0,1,198997,198998,0,0,"Icon_TutorialSmall_UI_TutTemp","","",0
2,1,1,2,198999,199000,0,0,"Icon_TutorialSmall_UI_TutTemp","","",0
3,1,2,3,199001,199002,0,0,"Icon_TutorialMedium_UI_TutTemp","","",0
4,1,3,4,199004,199005,0,0,"Icon_TutorialMedium_UI_TutTemp","","",0
5,1,4,5,199006,199007,0,0,"Icon_TutorialLarge_UI_TutTemp","","",0
6,1,5,6,199008,199009,0,0,"Icon_TutorialXLarge_UI_TutTemp","","",0
52,23,1,5,210807,210808,563825,563826,"","ClientSprites:Icon_TutorialSmall_UI_Tutorial_Small_Crafting_Page_1A","ClientSprites:Icon_TutorialSmall_UI_Tutorial_Small_Crafting_Page_1B",0
54,25,0,3,213764,213765,0,0,"ClientSprites:Icon_TutorialMedium_UI_Tutorial_Medium_Armorer","","",0
57,294,0,3,213775,213776,564149,564150,"ClientSprites:Icon_TutorialMedium_UI_Tutorial_Large_Tradeskill_Codex_3","","",0
77,56,0,5,221095,221117,566664,566665,"","ClientSprites:Icon_TutorialSmall_UI_Tutorial_Small_Salvaging_Pg_1_1","ClientSprites:Icon_TutorialSmall_UI_Tutorial_Small_Salvaging_Pg_1_2",0
79,29,0,1,248775,221232,561576,564520,"ClientSprites:Icon_TutorialSmall_UI_Tutorial_Small_Schematics_Pg_1_2","","",0
80,34,0,3,221727,221886,0,0,"ClientSprites:Icon_TutorialMedium_UI_Tutorial_Medium_Weaponsmith","","",0
81,35,0,3,221728,221936,0,0,"ClientSprites:Icon_TutorialMedium_UI_Tutorial_Medium_Technologist","","",0
82,36,0,3,221729,221947,0,0,"ClientSprites:Icon_TutorialMedium_UI_Tutorial_Medium_Architect","","",0
83,37,0,3,221748,221776,0,0,"ClientSprites:Icon_TutorialMedium_UI_Tutorial_Medium_Miner","","",0
