"ID","localizedTextIdName","assetPath","datacubeId00","datacubeId01","datacubeId02","datacubeId03","datacubeId04","datacubeId05","datacubeId06","datacubeId07","datacubeId08","datacubeId09","datacubeId10","datacubeId11","datacubeId12","datacubeId13","datacubeId14","datacubeId15"
1,192893,"",53,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0
2,193772,"",56,57,58,0,0,0,0,0,0,0,0,0,0,0,0,0
5,269731,"",163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,270014,"",167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,270110,"",168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,270154,"",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,270227,"",170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,270524,"",171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,270571,"",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,280799,"",185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,280805,"",186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,280812,"",187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,280862,"",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,286819,"",189,190,191,192,193,194,195,0,0,0,0,0,0,0,0,0
18,287026,"",196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,291647,"",197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,291677,"",198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,292627,"",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,294429,"",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,294447,"",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,294464,"",203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,294480,"",204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,295085,"",206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,300369,"",210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,417426,"",211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,301924,"",214,215,216,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,"",222,223,224,225,226,0,0,0,0,0,0,0,0,0,0,0
31,302916,"",227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,330263,"",238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,332048,"",239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,342638,"",245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,342639,"",246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,342640,"",247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,342641,"",248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,342776,"",249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,344744,"",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,344745,"",251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,344746,"",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,344747,"",253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,344748,"",254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,344749,"",255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,344750,"",256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,344751,"",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
