"ID","localizedTextId","itemSlotId","soundEventIdLoot","soundEventIdEquip","flags","vendorMultiplier","turninMultiplier","Item2CategoryId","referenceMuzzleX","referenceMuzzleY","referenceMuzzleZ"
1,190431,1,51435,47744,0,1.25,1,1,0,0,0
2,190432,2,51435,47744,0,1.125,1,1,0,0,0
3,190433,3,51435,47744,0,1,1,1,0,0,0
4,190434,4,51435,47744,0,0.875,1,1,0,0,0
5,190435,5,51435,47744,0,0.875,1,1,0,0,0
6,190436,6,51435,47744,0,0.75,1,1,0,0,0
7,190437,8,0,0,65536,1,1,1,0,0,0
8,190438,1,50982,47745,0,1.25,1,2,0,0,0
9,190439,2,51436,47745,0,1.125,1,2,0,0,0
10,190440,3,51436,47745,0,1,1,2,0,0,0
11,190441,4,51436,47745,0,0.875,1,2,0,0,0
12,190442,5,51436,47745,0,0.875,1,2,0,0,0
13,190443,6,51436,47745,0,0.75,1,2,0,0,0
14,190444,8,0,0,65536,1,1,2,0,0,0
15,190445,1,50982,47743,0,1.25,1,3,0,0,0
16,190446,2,50982,47743,0,1.125,1,3,0,0,0
17,190449,3,50982,47743,0,1,1,3,0,0,0
18,190450,4,50982,47743,0,0.875,1,3,0,0,0
19,190451,5,50982,47743,0,0.875,1,3,0,0,0
20,190452,6,50982,47743,0,0.75,1,3,0,0,0
21,190453,8,0,0,65536,1,1,3,0,0,0
22,190454,1,0,0,65536,1.4,1,4,0,0,0
23,190455,2,0,0,65536,1.2,1,4,0,0,0
24,190456,3,0,0,65536,1,1,4,0,0,0
25,190457,4,0,0,65536,0.8,1,4,0,0,0
26,190458,5,0,0,65536,0.8,1,4,0,0,0
27,190459,6,0,0,65536,0.6,1,4,0,0,0
28,190460,8,0,0,65536,1,1,4,0,0,0
29,239245,0,50995,47749,65536,1,1,7,0,0,0
30,0,13,0,0,65536,1,1,7,0,0,0
31,239246,14,0,0,65536,1,1,7,0,0,0
32,239247,15,0,0,65536,1,1,7,0,0,0
33,0,1,0,0,65536,1,1,5,0,0,0
34,0,2,0,0,65536,1,1,5,0,0,0
35,0,3,0,0,65536,1,1,5,0,0,0
36,0,4,0,0,65536,1,1,5,0,0,0
37,0,5,0,0,65536,1,1,5,0,0,0
38,0,6,0,0,65536,1,1,5,0,0,0
39,0,8,0,0,65536,1,1,5,0,0,0
40,0,0,0,0,65536,1,1,5,0,0,0
41,0,13,0,0,65536,1,1,5,0,0,0
42,0,14,0,0,65536,1,1,5,0,0,0
43,0,15,0,0,65536,1,1,5,0,0,0
44,0,20,0,0,65536,1,1,8,0,0,0
45,239234,20,51313,47760,0,1.4,1,16,-0.5,0,-0.076
46,239235,20,51314,47758,0,1.4,1,22,0,0,0
47,232900,20,0,0,0,1.4,1,18,0,0,0
48,239236,20,51310,47755,0,1.4,1,24,0,0,0
49,239237,20,51312,47757,65536,1.4,1,10,-1.2,0,-0.11
50,0,20,0,0,65536,1.4,1,20,0,0,0
51,239238,20,51311,47756,0,1.4,1,8,0,0,0
52,0,20,0,0,65536,1,1,8,0,0,0
53,190463,43,50995,47748,0,1,1,7,0,0,0
54,0,43,0,0,65536,1,1,13,0,0,0
55,0,43,0,0,65536,1,1,19,0,0,0
56,0,43,0,0,65536,1,1,21,0,0,0
57,0,43,0,0,65536,1,1,23,0,0,0
58,0,43,0,0,65536,1,1,11,0,0,0
59,0,43,0,0,65536,1,1,17,0,0,0
60,0,43,0,0,65536,1,1,9,0,0,0
61,0,43,0,0,65536,1,1,25,0,0,0
62,0,24,0,0,0,1,1,26,0,0,0
63,0,25,0,0,0,1,1,26,0,0,0
64,0,26,0,0,0,1,1,26,0,0,0
65,0,27,0,0,0,1,1,26,0,0,0
66,0,28,0,0,0,1,1,26,0,0,0
67,0,29,0,0,0,1,1,26,0,0,0
68,0,30,0,0,0,1,1,26,0,0,0
69,0,31,0,0,0,1,1,26,0,0,0
70,0,0,0,0,0,1,1,26,0,0,0
71,0,39,0,0,0,1,1,26,0,0,0
72,0,0,0,0,65536,1,1,27,0,0,0
73,0,0,0,0,65536,1,1,28,0,0,0
74,239239,0,0,0,65536,0.1,1,47,0,0,0
75,239240,0,0,0,65536,0.15,1,48,0,0,0
76,0,0,0,0,65536,1,1,32,0,0,0
77,0,0,0,0,65536,0,1,34,0,0,0
78,0,20,0,0,65536,1.4,1,14,0,0,0
79,239241,20,51315,47759,0,1.4,1,12,-0.55,0,0.065
86,0,0,0,0,65536,1,1,32,0,0,0
87,0,0,0,0,0,1,1,35,0,0,0
88,0,43,0,0,0,1,1,36,0,0,0
89,0,0,0,0,0,1,1,31,0,0,0
90,239242,0,0,0,65536,0.1,1,50,0,0,0
92,0,0,0,0,0,0.5,1,59,0,0,0
93,0,20,0,0,0,0.5,1,37,0,0,0
94,0,20,0,0,0,0.5,1,37,0,0,0
95,0,0,0,0,0,0.1,1,40,0,0,0
96,0,0,0,0,0,0.005,1,40,0,0,0
97,0,0,0,0,0,0.01,1,40,0,0,0
98,0,0,0,0,0,0.01,1,40,0,0,0
99,0,0,0,0,0,0.01,1,40,0,0,0
100,0,0,0,0,0,0.01,1,40,0,0,0
101,0,0,0,0,0,0.1,1,41,0,0,0
102,0,0,0,0,0,0.1,1,41,0,0,0
103,0,0,0,0,0,0.1,1,41,0,0,0
104,0,0,0,0,0,0.1,1,41,0,0,0
105,0,0,0,0,0,0.1,1,41,0,0,0
106,0,0,0,0,0,0.1,1,42,0,0,0
107,0,0,0,0,0,0.1,1,42,0,0,0
108,0,0,0,0,0,0.1,1,42,0,0,0
109,0,0,0,0,0,0.1,1,42,0,0,0
110,0,0,0,0,0,0.1,1,43,0,0,0
111,0,0,0,0,0,0.1,1,43,0,0,0
112,0,0,0,0,0,0.1,1,43,0,0,0
113,0,0,0,0,0,0.1,1,43,0,0,0
114,0,0,0,0,0,0.1,1,43,0,0,0
