"ID","faction2IdParent","flags","localizedTextIdName","localizedTextIdToolTip","orderIndex","archiveArticleId"
164,0,0,15761,15762,0,0
165,0,0,15763,15764,0,0
166,165,0,15765,15766,0,0
167,165,0,15767,15768,0,0
168,164,2,15769,15770,0,0
169,164,0,15771,15772,0,0
170,164,2,15773,15774,0,0
171,164,2,15776,15777,0,0
172,168,2,15780,15781,0,0
173,168,2,15785,15786,0,0
174,168,2,15787,15788,0,0
175,168,3,15789,15790,0,0
176,168,2,15791,15792,0,0
177,168,2,15793,15794,0,0
178,168,2,15795,15796,0,0
179,168,2,15797,15798,0,0
180,168,2,15799,15800,0,0
181,168,2,15801,15802,0,0
182,168,2,15803,15804,0,0
183,168,2,15805,15806,0,0
184,168,2,15807,15808,0,0
185,168,2,15809,15810,0,0
186,168,2,15811,15812,0,0
187,168,2,15813,15814,0,0
188,168,2,15815,15816,0,0
189,177,2,15817,15818,0,0
190,177,2,15819,15820,0,0
191,177,2,15821,15822,0,0
192,180,2,15823,15824,0,0
193,180,2,15825,15826,0,0
194,180,2,15827,15828,0,0
195,188,2,15832,15833,0,0
196,188,2,15830,15831,0,0
197,188,2,15834,15835,0,0
198,187,2,15836,15837,0,0
199,187,2,15838,15839,0,0
200,187,2,15840,15841,0,0
201,181,2,15842,15843,0,0
202,181,2,15844,15845,0,0
203,181,2,15846,15847,0,0
205,186,2,15850,15851,0,0
206,186,2,15852,15853,0,0
207,186,2,15854,15855,0,0
208,378,2,15856,15857,0,0
209,168,2,15858,15859,0,0
210,168,2,15860,15861,0,0
211,169,2,15862,15863,0,0
212,0,1,15864,15865,0,0
213,0,1,15866,15867,0,0
214,0,1,15868,15869,0,0
215,0,1,15870,15871,0,0
216,0,1,15872,15873,0,0
217,0,1,15874,15875,0,0
218,164,2,15876,15877,0,0
219,0,3,15878,15879,0,0
220,168,2,15880,15881,0,0
221,326,2,15882,15883,0,0
222,326,2,15884,15885,0,0
223,326,2,15886,15887,0,0
224,169,2,15888,15889,0,0
225,224,0,15890,15891,0,0
226,224,2,15892,15893,0,0
227,224,2,15894,15895,0,0
228,169,2,15896,15897,0,0
229,228,0,15898,15899,0,0
230,228,2,15900,15901,0,0
231,228,0,15902,15903,0,0
232,169,2,15904,15905,0,0
233,232,2,15906,15907,0,0
234,232,2,15908,15909,0,0
236,182,2,15912,15913,0,0
237,182,2,15914,15915,0,0
238,182,2,15916,15917,0,0
239,185,2,15918,15919,0,0
240,185,2,15920,15921,0,0
241,185,2,15922,15923,0,0
242,178,2,15924,15925,0,0
243,178,2,15926,15927,0,0
244,178,2,15928,15929,0,0
245,184,2,15951,15952,0,0
246,184,2,15953,15954,0,0
247,184,2,15955,15956,0,0
248,183,2,15957,15958,0,0
249,183,2,15959,15960,0,0
250,183,2,15961,15962,0,0
251,169,3,15964,15965,0,0
252,0,1,15969,15970,0,0
253,0,1,15971,15972,0,0
254,0,1,15973,15974,0,0
255,232,2,16217,16218,0,0
256,232,2,16688,16689,0,0
257,173,3,16910,16911,0,0
258,173,3,16914,16915,0,0
259,173,3,16912,16913,0,0
260,974,0,17157,17158,6,0
261,974,0,17159,17160,5,0
262,168,3,17266,17267,0,0
263,262,3,17268,17269,0,0
264,262,3,17270,17271,0,0
265,262,3,17272,17273,0,0
266,0,3,17311,17312,0,0
267,169,3,17323,17324,0,0
268,168,3,17326,17327,0,0
269,268,3,17328,17329,0,0
270,268,3,17330,17331,0,0
271,268,3,17333,17334,0,0
272,326,3,17648,17649,0,0
273,0,1,17971,17972,0,0
274,169,2,18521,18522,0,0
275,274,1,18741,18742,0,0
276,167,3,18744,18745,0,0
277,274,2,18746,18747,0,0
278,228,0,19140,19141,0,0
279,171,0,19763,19764,0,0
280,172,3,19864,19865,0,0
