"ID","rewardTrackId","rewardPointFlags","prerequisiteId","flags","currencyTypeId","currencyAmount","rewardTrackRewardTypeEnum00","rewardTrackRewardTypeEnum01","rewardTrackRewardTypeEnum02","rewardChoiceId00","rewardChoiceId01","rewardChoiceId02","rewardChoiceCount00","rewardChoiceCount01","rewardChoiceCount02"
17,5,2,3,2,0,0,0,0,1,72011,72022,2485,1,1,1
18,5,2,3,2,0,0,0,0,1,72012,72023,2485,1,1,1
19,5,2,3,2,0,0,0,0,1,72013,72024,2485,1,1,1
20,5,2,3,2,0,0,0,0,1,72014,72025,2485,1,1,1
21,5,2,3,2,0,0,0,0,1,72021,72032,2485,1,1,1
22,5,1,3,2,0,0,0,0,1,72015,72026,2485,1,1,1
23,5,1,3,2,0,0,0,0,1,72016,72027,2485,1,1,1
24,5,1,3,2,0,0,0,0,1,72017,72028,2485,1,1,1
25,5,1,3,2,0,0,0,0,1,72018,72030,2485,1,1,1
26,5,1,3,2,0,0,0,0,1,72020,72031,2485,1,1,1
27,5,8,3,2,0,0,0,0,1,72099,72110,2486,1,1,1
28,5,8,3,2,0,0,0,0,1,72100,72111,2486,1,1,1
29,5,8,3,2,0,0,0,0,1,72101,72112,2486,1,1,1
30,5,8,3,2,0,0,0,0,1,72102,72113,2486,1,1,1
31,5,8,3,2,0,0,0,0,1,72109,72120,2486,1,1,1
32,5,4,3,2,0,0,0,0,1,72103,72114,2486,1,1,1
33,5,4,3,2,0,0,0,0,1,72104,72115,2486,1,1,1
34,5,4,3,2,0,0,0,0,1,72105,72116,2486,1,1,1
35,5,4,3,2,0,0,0,0,1,72106,72118,2486,1,1,1
36,5,4,3,2,0,0,0,0,1,72108,72119,2486,1,1,1
39,5,2,4,2,0,0,0,0,1,72280,72291,2485,1,1,1
40,5,2,4,2,0,0,0,0,1,72281,72292,2485,1,1,1
41,5,2,4,2,0,0,0,0,1,72282,72293,2485,1,1,1
42,5,2,4,2,0,0,0,0,1,72283,72294,2485,1,1,1
43,5,2,4,2,0,0,0,0,1,72290,72301,2485,1,1,1
44,5,1,4,2,0,0,0,0,1,72284,72295,2485,1,1,1
45,5,1,4,2,0,0,0,0,1,72285,72296,2485,1,1,1
46,5,1,4,2,0,0,0,0,1,72286,72297,2485,1,1,1
47,5,1,4,2,0,0,0,0,1,72287,72299,2485,1,1,1
48,5,1,4,2,0,0,0,0,1,72289,72300,2485,1,1,1
49,5,8,4,2,0,0,0,0,1,72368,72379,2486,1,1,1
50,5,8,4,2,0,0,0,0,1,72369,72380,2486,1,1,1
51,5,8,4,2,0,0,0,0,1,72370,72381,2486,1,1,1
52,5,8,4,2,0,0,0,0,1,72371,72382,2486,1,1,1
53,5,8,4,2,0,0,0,0,1,72378,72389,2486,1,1,1
54,5,4,4,2,0,0,0,0,1,72372,72383,2486,1,1,1
55,5,4,4,2,0,0,0,0,1,72373,72384,2486,1,1,1
56,5,4,4,2,0,0,0,0,1,72374,72385,2486,1,1,1
57,5,4,4,2,0,0,0,0,1,72375,72387,2486,1,1,1
58,5,4,4,2,0,0,0,0,1,72377,72388,2486,1,1,1
69,5,16,0,3,1,2500000,0,0,0,90844,90845,72417,1,1,1
70,5,2,6,2,0,0,0,0,1,72550,72561,2485,1,1,1
