"ID","pathSettlerHubId","pathSettlerImprovementGroupFlags","creature2IdDepot","localizedTextIdName","settlerAvenueTypeEnum","contributionValue","perTierBonusContributionValue","durationPerBundleMs","maxBundleCount","pathSettlerImprovementGroupIdOutpostRequired","pathSettlerImprovementIdTier00","pathSettlerImprovementIdTier01","pathSettlerImprovementIdTier02","pathSettlerImprovementIdTier03","worldLocation2IdDisplayPoint"
2,4,0,12454,199718,0,20,15,4294967295,1,0,3,4,0,0,8815
3,4,0,12456,199731,1,20,15,60000,10,0,5,6,0,0,8816
4,4,0,12458,199732,2,20,15,60000,10,0,7,261,0,0,8817
5,5,0,12459,199738,0,20,5,60000,10,0,8,0,0,0,8820
6,5,2,12460,199739,1,20,10,60000,10,0,9,10,0,0,8821
7,5,2,12462,199740,2,20,5,60000,10,0,11,12,0,0,8823
8,4,2,12458,200113,2,20,10,60000,10,0,657,0,0,0,8815
9,4,1,0,200648,1,0,0,3600000,0,0,15,0,0,0,8816
10,47,0,18716,200856,1,1,0,300000,10,0,454,0,0,0,13609
11,46,4,18717,200942,2,1,0,300000,10,0,450,0,0,0,17552
12,46,4,18717,200963,1,1,0,300000,10,0,451,0,0,0,17552
13,46,4,18717,200964,1,1,0,300000,10,0,452,0,0,0,17552
14,48,0,18738,200978,1,1,0,300000,10,0,517,0,0,0,20692
15,48,4,18738,201017,2,1,0,300000,10,0,455,0,0,0,20692
16,48,4,18738,201031,1,1,0,300000,10,0,453,0,0,0,20692
17,48,4,18738,201032,1,1,0,300000,10,0,456,0,0,0,20692
18,13,0,13330,201074,1,20,0,600000,10,0,133,0,0,0,17556
20,13,0,13332,201094,1,20,0,600000,10,0,135,0,0,0,17563
23,13,4,13334,201109,1,14,0,600000,10,0,3133,0,0,0,17638
25,13,4,13334,201111,2,12,0,600000,10,0,3135,0,0,0,17638
26,13,4,20491,201112,0,32,0,600000,1,0,3136,0,0,0,44919
33,13,4,13331,201169,2,7,0,1200000,10,0,148,0,0,0,17562
39,13,4,13331,201175,0,15,0,1200000,10,0,3139,0,0,0,17562
52,18,0,35951,201200,2,12,0,1200000,10,0,223,0,0,0,17635
58,18,0,35951,201207,2,12,0,1200000,10,0,229,0,0,0,17635
60,18,0,35950,201209,2,12,0,1200000,10,0,565,0,0,0,17636
61,18,0,35952,201210,2,12,0,1200000,10,0,566,0,0,0,17637
62,57,4,20494,201221,0,13,0,1200000,20,0,377,0,0,0,17639
63,57,4,20493,201222,0,13,0,1200000,20,0,376,0,0,0,17640
66,57,4,20494,201226,1,24,7,600000,20,0,380,3172,0,0,17639
67,57,4,20494,201228,1,16,7,600000,20,0,381,3173,0,0,17639
68,57,4,20493,201232,1,16,7,600000,20,0,382,3174,0,0,17640
70,57,4,20494,201235,2,13,4,1200000,20,0,385,3175,0,0,17639
71,57,4,20493,201236,2,15,0,1200000,20,0,384,0,0,0,17640
77,13,4,13334,201253,2,15,0,1200000,10,0,158,0,0,0,17638
80,18,1,0,201257,0,0,0,3600000,0,0,296,0,0,0,41265
81,62,4,21072,201324,1,18,24,600000,30,0,581,1794,0,0,18629
82,62,4,21073,201326,1,18,24,600000,30,0,582,1795,0,0,18630
