"ID","storeDisplayInfoId","keyword"
1,2,"house"
2,2,"home"
3,2,"floor"
4,2,"terrain"
5,2,"asteriod"
6,2,"astroid"
7,3,"house"
8,3,"home"
9,3,"floor"
10,3,"terrain"
11,3,"elden"
12,4,"house"
13,4,"home"
14,4,"floor"
15,4,"terrain"
16,4,"osen"
17,5,"house"
18,5,"home"
19,5,"skybox"
20,5,"faling"
21,6,"house"
22,6,"home"
23,6,"skybox"
24,6,"fantasic"
25,6,"voage"
26,7,"house"
27,7,"home"
28,7,"skybox"
29,7,"pixamatic"
30,8,"house"
31,8,"home"
32,8,"skybox"
33,8,"choas"
34,9,"house"
35,9,"home"
36,9,"skybox"
37,9,"topical"
38,9,"tropicol"
39,10,"pack"
40,10,"set"
41,10,"special"
42,11,"pack"
43,11,"set"
44,11,"special"
45,11,"shade"
46,11,"eve"
47,11,"shade's"
48,12,"pack"
49,12,"set"
50,12,"special"
51,12,"clothing"
52,13,"pack"
53,13,"set"
54,13,"special"
55,14,"pack"
56,14,"set"
57,14,"special"
58,15,"pack"
59,15,"set"
60,15,"special"
61,16,"pack"
62,16,"set"
63,16,"special"
64,16,"delux"
65,17,"madame"
66,17,"fay"
67,17,"fay's"
68,17,"ticket"
69,17,"token"
70,17,"key"
71,18,"ticket"
72,18,"rapid"
73,18,"transport"
74,18,"rune"
75,18,"recustomize"
76,18,"rez"
77,18,"reroll"
78,18,"spawn"
79,17,"fortune"
80,17,"fourtune"
81,19,"reroll"
82,19,"chest"
83,19,"last"
84,19,"chance"
85,19,"treasure"
86,19,"tresure"
87,20,"decoration"
88,20,"auren"
89,21,"decoration"
90,21,"auren"
91,21,"carpet"
92,21,"mat"
93,22,"decoration"
94,22,"auren"
95,22,"light"
96,22,"lighting"
97,22,"lamppost"
98,23,"decoration"
99,23,"auren"
100,23,"tabel"
101,24,"decoration"
102,24,"auren"
103,24,"bureau"
104,24,"wardrobe"
105,24,"chest"
106,24,"burea"
107,25,"decoration"
108,25,"auren"
109,25,"bureau"
110,25,"dresser"
111,25,"closet"
112,25,"burea"
113,26,"decoration"
114,26,"auren"
115,26,"chandlier"
116,26,"chandilier"
117,26,"chandalier"
118,27,"decoration"
119,27,"exil"
120,27,"chiar"
121,28,"decoration"
122,28,"exil"
123,28,"shelf"
124,28,"shelves"
125,29,"decoration"
126,29,"exil"
127,29,"light"
128,29,"lighting"
129,29,"lamppost"
130,30,"decoration"
131,30,"exil"
