"ID","localizedTextIdError"
1,78723
2,78724
3,78725
4,78727
5,78729
6,78731
7,78733
8,78738
9,78858
10,78859
11,0
12,78860
13,78861
14,78862
15,78863
16,78864
18,78865
19,78866
20,78867
21,78868
22,78869
23,78870
24,78871
25,78872
26,78873
27,78874
28,78875
29,78876
30,78877
31,78878
33,78879
34,78880
35,78881
36,78882
37,78883
38,78884
39,78885
40,78886
41,78887
42,78888
43,78889
44,78890
46,156403
47,97969
48,98234
49,156404
50,156402
51,107211
52,107699
53,107700
54,107703
55,110144
56,110145
59,114717
60,114719
61,114976
62,121263
63,126658
64,128172
65,128776
66,128777
67,135665
68,136359
69,147487
70,147488
71,156400
73,156401
74,155193
76,156589
77,158096
78,158097
79,158098
80,158100
81,158124
82,158138
83,158142
84,158143
85,158144
86,158172
87,158173
88,158204
89,158206
90,158267
91,158413
92,158806
93,158824
94,160561
95,162599
96,162605
97,162620
98,162622
99,162624
100,162633
101,162657
102,163571
103,163572
104,163573
105,163574
106,163984
107,164527
108,164638
109,165574
110,165804
111,168069
112,168072
113,168075
114,172716
115,172719
116,174167
117,175854
118,175855
119,175856
120,175858
121,175870
122,175871
123,175872
124,176267
125,180401
126,180727
127,180726
128,180822
129,187433
130,187434
131,195391
133,198552
134,198553
135,198554
136,198555
137,198556
138,198557
139,198986
140,198988
141,200257
142,200421
143,206225
144,206226
145,207655
146,208095
147,208250
148,213934
149,218077
150,218190
151,218191
152,218193
153,219388
154,219476
155,233060
159,239049
160,280092
162,287340
163,287341
164,287342
166,287344
167,307157
168,307158
169,307159
170,307985
171,314063
172,317001
173,348984
174,348991
175,365274
176,369134
177,374697
178,375787
179,375788
180,377553
182,381742
183,390893
184,390894
185,390896
186,401729
187,406174
188,406187
189,0
190,408129
191,409063
192,0
193,417456
194,419625
195,419626
196,419856
197,425040
198,425041
199,427785
200,427941
201,428132
203,0
204,432636
205,449975
206,449976
207,449977
208,449978
209,449979
210,449988
211,449991
212,449992
213,449993
214,451045
215,472455
216,472457
217,472509
218,476310
219,476311
220,0
221,481019
222,486608
223,493212
224,499020
225,499728
226,520820
227,521016
228,524563
229,524564
230,524884
231,531792
232,550426
233,550734
234,557953
235,559525
236,559526
237,559531
238,559532
239,560322
240,0
241,0
242,572647
243,575542
244,581039
245,0
246,620955
248,0
250,624090
251,628514
252,628516
253,628517
254,628518
255,628519
256,628520
259,0
260,637584
261,643125
262,643126
263,643127
264,643128
265,643129
266,0
267,0
268,0
269,0
270,718850
271,0
272,0
273,720571
275,0
276,744065
277,744076
278,744133
279,744140
280,744605
281,744643
283,750357
285,0
286,0
287,0
288,754899
289,0
290,0
291,0
292,0
293,0
294,0
295,769937
