"ID","localizedTextIdBody","soundEventId","windowTypeId","durationMS","prerequisiteId","storyPanelStyleEnum"
1,41909,0,1,0,0,0
2,41912,0,1,0,0,0
3,41913,0,1,0,0,0
4,41919,0,2,18000,0,0
5,42152,0,1,6000,0,0
6,42162,0,1,5000,0,0
7,42216,0,1,7000,0,0
8,42217,0,1,7000,0,0
9,42316,0,1,1500,0,0
10,42351,0,1,7200,0,0
11,42379,0,1,7000,0,0
12,42380,0,1,7000,0,0
13,42381,0,1,7000,0,0
14,42492,0,1,5000,0,0
15,42681,0,1,5000,0,0
16,42728,5629,1,1000,0,0
17,42729,5629,1,1000,0,0
18,42730,5629,1,1000,0,0
19,43000,0,1,7000,0,0
20,43005,0,1,7000,0,0
21,43130,0,1,3500,0,0
22,43135,0,1,3500,0,0
23,43142,0,1,5000,0,0
24,43156,0,1,7000,0,0
25,43157,0,1,7000,0,0
26,43161,0,1,7000,0,0
27,43168,0,1,7000,0,0
28,43192,0,2,3000,0,0
29,43213,0,1,7000,0,0
30,43242,0,1,7000,0,0
31,43328,0,1,10000,0,0
32,43329,0,1,10000,0,0
33,43376,0,1,8000,0,0
34,43375,0,1,8000,0,0
35,43378,0,1,6000,0,0
36,43379,0,1,6000,0,0
37,43380,0,1,6000,0,0
38,43381,0,1,6000,0,0
39,43382,0,1,4000,0,0
40,43385,0,1,3000,0,0
41,43608,0,1,3000,0,0
42,43647,0,1,8000,0,0
43,43702,0,2,3000,0,0
44,44030,0,1,7200,0,0
45,44070,0,1,7000,0,0
46,44073,0,1,7000,0,0
47,44080,0,1,7000,0,0
48,44083,0,1,7000,0,0
49,44154,0,1,6000,0,0
50,44161,613,1,10000,0,0
51,44293,0,1,6500,0,0
52,44294,0,1,6500,0,0
53,44356,0,2,3000,0,0
54,44357,0,2,3000,0,0
55,44388,0,1,5000,0,0
56,44449,0,1,6000,0,0
57,44452,0,1,6000,0,0
58,44454,0,1,6000,0,0
59,44457,0,1,5000,0,0
60,44459,0,1,5000,0,0
61,44461,0,1,5000,0,0
62,44462,0,1,5000,0,0
63,44464,0,1,5000,0,0
64,44500,0,1,6500,0,0
65,44552,0,1,5000,0,0
66,44563,0,1,5000,0,0
67,44745,0,1,7000,0,0
68,44927,0,1,6000,0,0
69,45209,0,1,6000,0,0
70,45380,0,2,8000,0,0
71,45482,0,2,3000,0,0
72,45826,0,1,5000,0,0
73,45827,0,1,5000,0,0
74,45942,0,1,6000,0,0
75,45945,0,1,6000,0,0
76,45948,0,1,6000,0,0
77,45949,0,1,6000,0,0
78,45951,0,1,3000,0,0
79,45952,0,1,1500,0,0
80,45953,0,1,1500,0,0
81,45957,0,1,3000,0,0
82,46201,0,1,5000,0,0
83,46252,0,1,3000,0,0
84,46257,0,1,3000,0,0
85,46258,0,1,6000,0,0
86,46381,0,1,5000,0,0
87,46531,0,1,4000,0,0
88,46566,0,1,6000,0,0
89,46567,0,1,6000,0,0
90,46568,0,1,6000,0,0
91,46689,0,1,4000,0,0
92,46910,0,1,8000,0,0
93,46911,0,1,8000,0,0
94,47015,0,1,8000,0,0
95,47016,0,1,8000,0,0
96,47017,0,1,8000,0,0
97,47018,0,1,8000,0,0
98,47019,0,1,12000,0,0
99,47041,0,1,5000,0,0
100,47078,4943,1,10000,0,0
101,47093,0,1,4000,0,0
102,47094,0,1,8000,0,0
103,47095,0,1,8000,0,0
104,47096,0,1,4000,0,0
105,47104,0,1,5000,0,0
106,47111,0,1,5000,0,0
107,47242,0,1,6000,0,0
108,47243,0,1,6000,0,0
109,47249,0,1,6000,0,0
112,47274,0,1,10000,0,0
113,47264,0,1,6000,0,0
114,47301,0,1,5000,0,0
115,47317,0,1,6000,0,0
116,47429,0,1,5000,0,0
117,47536,0,1,5000,0,0
118,47699,0,1,6000,0,0
119,47700,0,1,6000,0,0
120,47701,0,1,8000,0,0
121,47702,0,1,5000,0,0
122,47705,0,1,7000,0,0
123,47706,0,1,7000,0,0
124,47726,0,2,5000,0,0
125,47744,0,1,5000,0,0
126,47745,0,1,6000,0,0
127,47776,0,1,5000,0,0
128,47777,0,1,5000,0,0
130,47780,0,1,5000,0,0
131,47799,0,1,6000,0,0
132,47800,0,1,6000,0,0
133,47801,0,1,8000,0,0
134,47811,0,1,8000,0,0
135,47812,0,1,8000,0,0
136,47813,0,1,8000,0,0
137,47814,0,1,8000,0,0
138,47840,0,1,8000,0,0
139,47976,0,1,7000,0,0
140,48189,0,1,6000,0,0
141,48391,0,1,6000,0,0
142,48392,0,1,6000,0,0
143,48393,0,1,6000,0,0
144,48412,0,1,6000,0,0
145,48413,0,1,6000,0,0
146,48893,0,1,6000,0,0
147,48973,0,1,8000,0,0
148,49209,0,1,5000,0,0
149,49704,0,1,8000,0,0
150,49768,0,1,6000,0,0
151,49769,0,1,6000,0,0
152,49820,0,1,5000,0,0
153,50041,0,1,4000,0,0
154,50140,0,1,6000,0,0
155,50259,0,1,6000,0,0
156,50260,0,1,6000,0,0
157,50261,0,1,15000,0,0
158,50262,0,1,15000,0,0
159,50263,0,1,15000,0,0
160,50264,0,1,15000,0,0
161,50265,0,1,15000,0,0
162,50296,0,1,6000,0,0
163,50297,0,1,6000,0,0
164,50352,0,1,6000,0,0
165,50631,0,1,6000,0,0
166,50632,0,1,6000,0,0
167,50941,0,1,6000,0,0
168,50942,0,1,6000,0,0
169,50943,0,1,6000,0,0
170,51111,0,1,6000,0,0
171,51136,0,1,5000,0,0
172,51138,0,1,5000,0,0
173,51273,0,1,6000,0,0
174,51309,0,1,7000,0,0
175,51315,0,1,7000,0,0
176,51570,0,1,7000,0,0
177,51668,0,1,6000,0,0
178,51673,0,1,7200,0,0
179,51686,0,1,5000,0,0
180,51967,0,2,3000,0,0
181,52047,0,2,7000,0,0
182,52163,0,1,6000,0,0
183,52164,0,1,6000,0,0
184,52325,0,1,6000,0,0
185,52327,0,1,6000,0,0
186,52339,0,1,7200,0,0
187,52389,0,1,15000,0,0
188,52660,0,1,6000,0,0
190,53306,0,1,5000,0,0
191,53308,0,1,5000,0,0
192,53357,0,1,6000,0,0
193,53358,0,1,5000,0,0
194,53361,0,1,5000,0,0
195,53362,0,1,5000,0,0
196,53714,0,2,5000,0,0
197,53855,0,1,5000,0,0
198,53856,0,1,1500,0,0
199,54321,0,1,12000,0,0
200,54368,0,1,10000,0,0
201,54370,0,1,10000,0,0
202,54430,0,1,8000,0,0
203,54434,0,1,4000,0,0
204,54509,0,1,24000,0,0
205,54528,0,1,3000,0,0
206,54696,0,1,10000,0,0
207,54824,0,1,3000,0,0
208,54840,0,1,7000,0,0
209,54841,0,1,7000,0,0
210,54846,0,1,5000,0,0
211,55043,0,1,5000,0,0
212,55162,0,1,10000,0,0
213,55068,0,1,5000,0,0
214,55133,0,1,7000,0,0
215,55134,0,1,7000,0,0
216,55135,4559,1,7000,0,0
217,55138,0,1,5000,0,0
218,55139,0,1,7000,0,0
219,55140,0,1,7000,0,0
220,55143,0,1,7000,0,0
221,55160,0,1,7000,0,0
222,55181,0,1,7000,0,0
223,55356,462,1,6000,0,0
224,55441,0,1,7000,0,0
225,55704,0,1,10000,0,0
226,55705,0,1,10000,0,0
227,55706,0,1,10000,0,0
228,56344,0,1,10000,0,0
229,55713,0,1,10000,0,0
230,55714,0,1,12000,0,0
231,55715,0,1,12000,0,0
232,55716,0,1,10000,0,0
233,55717,0,1,12000,0,0
234,55889,0,1,7000,0,0
235,55917,0,1,8000,0,0
236,55919,0,1,6000,0,0
237,55937,0,1,6000,0,0
238,55965,0,1,4000,0,0
239,55975,0,1,6000,0,0
240,55976,0,1,6000,0,0
241,55984,0,1,6000,0,0
242,56008,0,1,8000,0,0
243,56009,0,1,8000,0,0
244,56010,0,1,8000,0,0
245,56023,0,1,10000,0,0
246,56024,0,1,10000,0,0
247,56025,0,1,10000,0,0
248,56343,0,1,10000,0,0
249,56027,0,1,10000,0,0
250,56028,0,1,10000,0,0
251,56079,0,1,8000,0,0
252,56149,0,1,7000,0,0
253,56150,0,1,7000,0,0
254,56239,0,1,8000,0,0
255,56246,0,1,8000,0,0
256,56247,0,1,8000,0,0
257,56248,0,1,8000,0,0
258,56249,0,1,8000,0,0
259,56250,0,1,6000,0,0
260,56251,0,1,8000,0,0
261,56264,0,1,5000,0,0
262,56345,0,1,10000,0,0
263,56362,0,1,15000,0,0
264,56427,0,1,15000,0,0
265,56795,0,2,24000,0,0
266,0,0,1,0,0,0
267,58321,0,1,6000,0,0
268,58381,0,1,10000,0,0
269,58394,0,1,6000,0,0
270,58395,0,1,6000,0,0
271,58396,0,1,6000,0,0
272,58397,0,1,6000,0,0
274,58473,0,1,8000,0,0
275,58789,0,1,4000,0,0
276,58790,0,1,4000,0,0
277,58791,0,1,4000,0,0
278,58792,0,1,4000,0,0
279,58584,0,1,8000,0,0
280,58585,0,1,8000,0,0
281,58586,0,1,8000,0,0
282,58589,0,1,8000,0,0
283,58590,0,1,8000,0,0
284,58602,0,1,10000,0,0
285,58611,0,1,6000,0,0
286,58651,0,1,6000,0,0
287,58810,0,1,6000,0,0
288,58821,0,1,6000,0,0
289,58907,1359,1,10000,0,0
290,58911,0,1,10000,0,0
291,58912,0,1,10000,0,0
292,58985,0,1,6000,0,0
293,58989,0,1,6000,0,0
294,58992,0,1,10000,0,0
295,59062,0,1,9000,0,0
296,59064,0,1,9000,0,0
