"ID","spriteName"
1,"MiniMapObject"
5,"Icon_Map_Auroria_DominionChurch"
7,"Icon_Map_CrimsonIsle_ExileFortEntrance"
8,"Icon_Map_CrimsonIsle_ExileDish"
9,"Icon_Map_Malgrave_GranokBuilding"
10,"Icon_Map_Malgrave_Rock"
11,"Icon_Map_Celestion_RadiationSign"
12,"Icon_Map_Malgrave_DreggTent"
13,"Icon_Map_Celestion_DrakenBuilding"
14,"Icon_Map_Auroria_Farmhouse"
15,"Icon_Map_Farside_GiantSkull"
16,"Icon_Map_Whitevale_ProtostarShip"
17,"Icon_Map_Auroria_ProtostarBuilding"
18,"Icon_Map_Thayd_Tree"
19,"Icon_Map_Farside_PellHut"
20,"Icon_Map_Malgrave_BarWaterTower"
21,"Icon_Map_Auroria_BuzzbingHive"
22,"Icon_Map_Celestion_LoppHut"
23,"Icon_Map_Elevar_PellTotem"
24,"Icon_Map_Thayd_ExileTank"
25,"Icon_Map_Auroria_Megadroid"
26,"Icon_Map_Farside_SkeechHut"
27,"Icon_Map_Auroria_AurinTent"
28,"Icon_Map_Celestion_MoodieMask"
29,"Icon_Map_Auroria_DominionHouse"
30,"Icon_Map_Auroria_DominionFortEntrance"
31,"Icon_Map_Illium_FloatingHousePlot"
32,"Icon_Map_LevianBay_ExileTransport"
33,"Icon_Map_Celestion_Waterfall"
34,"Icon_Map_Malgrave_ExileHumanHouse"
35,"Icon_Map_Whitevale_MarauderShip"
36,"Icon_Map_Celestion_MordeshEquipment"
37,"Icon_Map_Grimvault_CaveEntrance"
38,"Icon_Map_Farside_DominionTransport"
39,"Icon_Map_Malgrave_ProtostarStadium"
40,"Icon_Map_Farside_Asteroid"
41,"Icon_Map_CrimsonIsle_DominionTent"
46,"Icon_Map_Farside_CrashedShiphand"
47,"Icon_Map_Map_QuestHub"
48,"sprMM_QuestHub"
49,"Icon_Map_Celestion_ChuaFacility"
50,"Icon_Map_Farside_EnergyBeam"
51,"Icon_Map_Auroria_EldanExolabEntrance"
52,"Icon_Map_Celestion_TreeofLife"
53,"Icon_MapNode_Map_QuestHub"
54,"Icon_Map_Elevar_CrabCrawler"
55,"Icon_Map_Elevar_EldanTower"
56,"Icon_Map_LevianBay_ExileBunker"
57,"Icon_Map_LevianBay_EldanSphere"
58,"MiniMapObjectEdge"
59,"Icon_Map_Farside_EldanPowerCore"
60,"Icon_Map_Thayd_DrakenFemaleBarSign"
61,"Icon_Map_Thayd_PigletShip"
62,"Icon_Map_Thayd_JudgeHat"
63,"Icon_Map_Thayd_GiantMonitor"
64,"Icon_Map_Illium_LumanaiStatue"
65,"Icon_Map_Illium_DominionFloatingStatue"
66,"Icon_Map_Map_QuestHub_Exile"
67,"Icon_MapNode_Map_QuestHub_Exile"
68,"Icon_Map_Algoroc_LoftiteCrystals"
69,"Icon_Map_Algoroc_DeathstarCamp"
70,"Icon_Map_Algoroc_GrimsLumberMill"
71,"Icon_MapNode_Map_QuestHub_Dominion"
72,"Icon_Map_Deradune_JaggedRockMine"
73,"Icon_Map_Deradune_MetalMaw"
74,"Icon_Map_Deradune_AurinTerraformer"
75,"Icon_Map_Deradune_NoName_2"
76,"Icon_Map_NorthernWilds_Tower"
77,"Icon_Map_NorthernWilds_CrashShip"
78,"Icon_Map_NorthernWilds_DropShips"
79,"Icon_Map_Whitevale_b_SunderstoneHold"
80,"Icon_Map_Whitevale_b_GenesisInstallation"
81,"Icon_Map_Auroria_OsunStatue"
82,"Icon_Map_Auroria_OsunForge"
83,"Icon_ItemMisc_DarkspurBanner"
84,"Icon_Map_Auroria_ShaleRock"
85,"Icon_Map_CrimsonIsle_AnnihilatorBot"
86,"Icon_Map_Deradune_DeadwindHollow"
87,"Icon_Map_Malgrave_Gorganoth"
88,"Icon_Map_Map_QuestHub_Dominion"
89,"Icon_Map_NorthernWilds_TallRock"
90,"Icon_Map_Malgrave_ShadespireCanyon"
91,"Icon_Map_Malgrave_RoostofOsiric"
92,"Icon_Map_CrimsonIsle_ChuaDrill"
93,"Icon_Map_EverstarGrove_ElderootHead"
94,"Icon_Map_EverstarGrove_TerminiteHive"
95,"Icon_Map_Grimvault_EnergyCore"
96,"Icon_Map_Farside_EldanDome"
97,"Icon_Map_Farside_GiantCrystal"
98,"Icon_Map_Farside_LavaPool"
99,"Icon_Map_Farside_IkthianCrabCrawler"
100,"Icon_Map_Algoroc_ExoLab"
101,"Icon_Map_Grimvault_DominionTransportCrash"
102,"Icon_Map_Whitevale_EldanFocus"
103,"Icon_Map_Thayd_EldanStatue"
104,"Icon_Map_Grimvault_EldanTubeStructure"
105,"Icon_Map_Celestion_AurinRockPortal"
106,"Icon_Map_Grimvault_StrainMine"
107,"Icon_Map_Galeras_NibbensRanch"
108,"Icon_Map_Galeras_TempestRefuge"
109,"Icon_Map_Galeras_ExcavationSite"
110,"Icon_Map_Galeras_KarasWatchtower"
111,"Icon_Map_Galeras_ThundercallVillage"
112,"Icon_Map_Algoroc_ExcavationBaseCamp"
113,"Icon_Map_Galeras_HighHenge"
114,"Icon_Map_Galeras_TheStagingPoint"
115,"Icon_Map_Galeras_StormingFortress"
116,"Icon_Map_Grimvault_ExileTransportCrash"
117,"Icon_Map_Grimvault_EldanCannon"
118,"Icon_Map_Grimvault_StrainPillarBlue"
119,"Icon_Map_NorthernWilds_CaveEntrance"
120,"Icon_Map_Algoroc_TremorRidge"
121,"Icon_Map_NorthernWilds_Instance"
122,"sprSlinger_ManaBar_EdgeGlow"
123,"Icon_Map_Galeras_BreachedExcavation"
124,"Icon_Map_Whitevale_EldanTerraformer"
125,"Icon_Map_Grimvault_Promenade"
126,"Icon_Map_Grimvault_Lightspire"
127,"Icon_Map_Grimvault_BlackUltimatum"
128,"Icon_Map_Grimvault_ExaniteTower"
129,"ItemIcon_Generic"
130,"Icon_MapNode_Map_ZoneBoundary"
136,"Icon_Map_Ring_Scorn"
137,"Icon_Map_Shiverskull_Tower"
138,"Icon_Map_Frostgales_Aeri"
139,"Icon_Map_Carrion_Vale"
140,"Icon_Map_Tower_EngineerGrotto"
141,"Icon_Map_Pillar_KelHavik"
142,"sprMMIndicator"
143,"Icon_Map_Illium_DominionGlobe"
