"id","nameHash","groupHash"
16,1135348210,1875627670
17,3804751634,1875627670
18,2295165116,1875627670
19,1703719667,1875627670
20,1818061945,1875627670
21,3887404748,1875627670
22,3752016120,1875627670
27,2204441813,1776943274
30,3111576190,1776943274
42,4177695705,2381352418
43,344481046,2381352418
44,2661483290,1878813186
45,3887404748,1878813186
46,1050421051,3843418371
47,2678880713,3843418371
48,73014993,3843418371
52,3747705955,3465685017
53,2137943,3465685017
54,3465685017,3465685017
55,173618551,3465685017
56,2654748154,3465685017
57,871978022,3716891006
58,511279544,3716891006
59,713418739,2921507892
60,3532222305,2921507892
61,2834447782,2682221970
62,3739255089,2682221970
63,4284352190,2193341190
64,2849147824,2193341190
65,1846755610,2193341190
66,3625150560,1617045055
67,2878843954,1617045055
68,401928593,2395830826
69,3205576239,2395830826
84,273403769,3804751634
85,2195821560,2765602455
86,2156354163,2765602455
87,233081688,3804751634
88,203115580,2765602455
89,4182799788,2758704792
90,1837441281,2758704792
101,3152449220,184787466
102,3790472282,184787466
103,56936303,2380916367
104,185463833,2380916367
105,1115118811,2801203973
106,733701342,2801203973
108,1081055824,184787466
109,2451408532,3925742818
110,665410783,3925742818
111,3805060608,2682221970
112,2508769990,4211211574
113,1619957930,4211211574
114,1511589081,2682221970
115,1928054474,3465685017
118,2465111940,3105093207
119,877957129,3105093207
120,2973183709,1812305949
121,2065691077,1812305949
122,1446442139,1812305949
123,3846826390,1998688429
124,3848275658,1998688429
125,657193600,2648505023
126,3817440513,2648505023
127,226952397,2931984365
128,4004788935,2931984365
129,1825903325,3925742818
130,787840195,3326443144
131,3972685837,3326443144
132,3180565631,3925742818
133,3389138505,3389138505
134,2089911804,3389138505
135,81874693,4211211574
136,2035394993,566894044
137,2154723057,566894044
138,3995193665,1998688429
139,610821445,348264915
140,3880299872,348264915
141,336600454,2861228046
142,746268503,2861228046
143,3898515530,1812305949
144,1566028283,1998688429
145,1210337124,3716891006
146,4011060972,3716891006
147,3894372637,2931984365
148,580500721,2422594377
149,3115595122,2422594377
150,2091755121,3217271958
151,2296690032,3217271958
152,3167687284,313464413
153,1460514194,313464413
154,2633462597,2931984365
155,1595192984,566894044
156,52601529,566894044
157,3688351305,1257163878
158,3025917178,1257163878
159,1068020883,2648505023
160,436309010,184787466
162,3390693249,2596813641
163,2936633373,2258025435
164,593248764,2258025435
165,725026395,4211211574
166,3782398188,1812305949
167,2301116846,353364308
168,1575059827,2931984365
169,2329802757,3326443144
170,540701335,2258025435
171,2245767874,424246354
172,250304861,424246354
173,548300682,3716891006
174,3322072364,3716891006
175,25718345,3716891006
176,1716787528,313464413
