"ID","soundZoneKitIdParent","worldZoneId","inheritFlags","propertyFlags","soundMusicSetId","soundEventIdIntro","introReplayWait","soundEventIdMusicMood","soundEventIdAmbientDay","soundEventIdAmbientNight","soundEventIdAmbientUnderwater","soundEventIdAmbientStop","soundEventIdAmbientPreStopOverride","soundEnvironmentId00","soundEnvironmentId01","environmentDry","environmentWet00","environmentWet01"
6,4294967295,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,4294967295,16,1398101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,4294967295,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,4294967295,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,1398101,0,22,0,0,3892,0,0,0,0,0,0,0,1,0,0
23,0,0,1398101,0,22,0,0,3891,0,0,0,0,0,0,0,1,0,0
24,0,0,1398101,0,16,0,0,0,6246,4235,0,5627,0,0,0,1,0,0
25,0,0,1398122,0,0,0,0,3892,4355,4355,0,5598,5631,0,0,1,0,0
26,4294967295,13,4199753,0,32,0,0,3891,2509,5977,4355,5627,0,0,0,1,0,0
27,4294967295,21,65,0,256,0,0,3892,2509,5977,4355,5627,0,0,0,1,0,0
28,4294967295,20,64,0,32,0,0,3893,2572,2573,0,5627,0,0,0,1,0,0
29,4294967295,22,32768,0,0,0,0,0,2509,2509,0,113,0,0,0,1,0,0
30,4294967295,29,4199809,0,21,0,0,0,2572,2573,4355,5627,0,0,0,1,0,0
31,4294967295,101,5376,0,0,0,0,0,3979,3979,0,5627,0,0,0,1,0,0
32,4294967295,127,5376,0,0,0,0,0,4267,4267,0,5627,0,0,0,1,0,0
33,4294967295,32,5441,0,43,0,0,3891,8844,8844,0,5627,0,0,0,1,0,0
34,4294967295,98,5376,0,0,0,0,0,3980,3980,0,5627,0,0,0,1,0,0
35,4294967295,125,1280,0,0,0,0,0,3930,3930,0,113,0,0,0,1,0,0
36,4294967295,35,5592405,0,29,0,180000,3891,2510,2510,4355,5627,0,0,0,1,0,0
37,4294967295,136,1280,0,13,6286,180000,3891,2658,2658,0,5627,0,0,0,1,0,0
38,4294967295,137,5592469,0,14,0,0,0,43073,43073,4355,5627,0,0,0,1,0,0
39,4294967295,215,1281,0,15,0,0,0,4841,4841,0,5627,0,0,0,1,0,0
40,4294967295,213,1280,0,0,0,0,0,4395,4395,0,113,0,0,0,1,0,0
41,4294967295,112,1281,0,19,0,0,3891,2658,2658,0,5627,0,0,0,1,0,0
42,4294967295,91,1280,0,0,0,0,0,2658,2658,0,5627,0,0,0,1,0,0
43,4294967295,248,5592405,0,93,0,0,0,32569,32567,4355,5627,0,0,0,1,0,0
44,4294967295,37,4216065,0,98,0,0,0,58444,58446,4355,5627,0,0,0,1,0,0
45,4294967295,24,4194369,0,33,0,0,0,2509,5977,4355,5627,0,0,0,1,0,0
46,4294967295,113,1,0,19,6286,180000,3891,6246,6247,0,5627,0,0,0,1,0,0
47,4294967295,19,1281,0,148,0,0,0,32626,32626,4355,5627,0,0,0,1,0,0
48,4294967295,14,1280,0,11,0,0,3891,827,827,0,5627,0,0,0,1,0,0
50,4294967295,227,1,0,15,0,0,3891,4209,4209,0,5627,0,0,0,1,0,0
51,0,0,64,0,0,0,0,3892,0,0,0,0,0,0,0,1,0,0
53,4294967295,318,1345,0,225,0,0,3892,3888,3888,4355,5627,0,0,0,1,0,0
54,4294967295,31,1280,0,13,0,0,3891,5717,5718,0,5627,0,0,0,1,0,0
55,4294967295,109,256,0,13,0,0,3891,5791,2573,0,5627,0,0,0,1,0,0
56,4294967295,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,4294967295,319,5377,0,18,0,0,0,5800,5800,0,5627,0,0,0,1,0,0
58,4294967295,326,1281,0,39,0,0,3893,826,826,4355,5627,0,0,0,1,0,0
59,0,0,1398101,0,20,0,0,0,5661,5661,0,5627,0,17,0,1,0.1,0
60,4294967295,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,4294967295,297,0,0,14,0,0,3891,5892,5893,0,5627,0,0,0,1,0,0
62,4294967295,129,1345,0,31,0,0,5632,5894,5895,0,5627,0,0,0,1,0,0
63,4294967295,100,1280,0,13,0,0,3891,2509,5977,0,5627,0,0,0,1,0,0
64,4294967295,30,1280,0,13,0,0,3891,2509,5977,0,5627,0,0,0,1,0,0
65,4294967295,229,1280,0,13,0,0,3891,2509,5977,0,5627,0,0,0,1,0,0
66,4294967295,99,1280,0,13,0,0,3891,5997,5998,0,5627,0,0,0,1,0,0
67,4294967295,267,1280,0,13,0,0,3891,5987,5988,0,5627,0,0,0,1,0,0
68,4294967295,288,1280,0,14,0,0,3891,5892,5893,0,5627,0,0,0,1,0,0
69,4294967295,293,1280,0,14,0,0,3891,5990,5991,0,5627,0,0,0,1,0,0
70,4294967295,145,1280,0,14,0,0,3891,5992,5993,0,5627,0,0,0,1,0,0
71,4294967295,556,1280,0,14,0,0,3891,6000,6001,0,5627,0,0,0,1,0,0
72,4294967295,123,0,0,13,0,0,3891,2509,5977,0,5627,0,0,0,1,0,0
73,4294967295,333,1280,0,13,0,0,3891,2509,5977,0,113,0,0,0,1,0,0
74,4294967295,116,1280,0,13,0,0,3891,2509,5977,0,113,0,0,0,1,0,0
75,4294967295,360,1280,0,13,0,0,3891,5980,5980,0,5627,0,0,0,1,0,0
76,4294967295,87,0,0,13,6286,180000,3891,6246,6247,0,5627,0,0,0,1,0,0
77,4294967295,377,4199681,0,205,0,0,0,58211,58212,4355,5627,0,0,0,1,0,0
78,4294967295,453,256,0,11,0,0,3891,6463,2573,0,5627,0,0,0,1,0,0
80,4294967295,365,1344,0,32,0,0,3892,2572,2573,0,5627,0,0,0,1,0,0
81,4294967295,485,5377,0,67,0,0,0,7742,7743,0,5627,0,0,0,1,0,0
83,4294967295,484,1,0,50,0,0,0,7740,7741,0,5627,0,0,0,1,0,0
84,4294967295,36,4199681,0,108,0,0,0,1360,41138,4355,5627,0,0,0,1,0,0
85,4294967295,207,4352,0,0,0,0,0,4210,0,0,5627,0,0,0,1,0,0
86,4294967295,483,4199681,0,23,0,0,0,7010,7011,4355,5627,0,0,0,1,0,0
87,0,0,2796201,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,4294967295,487,5441,0,11,0,0,3891,2572,2573,0,5627,0,0,0,1,0,0
90,4294967295,6,5376,0,0,0,0,0,6018,6019,0,5627,0,0,0,1,0,0
91,4294967295,146,5376,0,0,0,0,0,6018,6019,0,5627,0,0,0,1,0,0
92,4294967295,475,5376,0,0,0,0,0,7063,7063,0,5627,0,0,0,1,0,0
93,4294967295,490,1281,0,69,0,0,0,7737,7737,0,5627,0,0,0,1,0,0
94,4294967295,497,1281,0,50,0,0,0,7043,7043,4355,5627,0,0,0,1,0,0
96,4294967295,503,1281,0,39,0,0,0,7744,7744,4355,5627,0,0,0,1,0,0
98,4294967295,494,1,0,70,0,0,0,7010,7011,0,5627,0,0,0,1,0,0
99,4294967295,495,0,0,23,0,0,0,7010,7011,0,5627,0,0,0,1,0,0
100,4294967295,488,64,0,11,0,0,3893,2572,2573,0,5627,0,0,0,1,0,0
102,4294967295,621,328960,0,50,0,0,0,40709,40709,0,5627,0,27,0,1,0.5,0
103,4294967295,668,1280,0,23,0,0,0,7818,7818,0,5627,0,0,0,1,0,0
107,4294967295,609,1345,0,37,0,180000,3891,8802,8802,0,5627,0,0,0,1,0,0
108,0,0,85,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0
110,4294967295,645,0,0,13,6286,180000,3891,2510,4235,0,5627,0,0,0,1,0,0
111,4294967295,646,0,0,13,6286,180000,3891,2510,4235,0,5627,0,0,0,1,0,0
112,0,0,11179369,0,29,0,0,3891,6246,6247,0,5627,0,0,0,1,0,0
113,0,0,11179369,0,29,0,0,3891,7969,7969,0,5627,0,0,0,1,0,0
114,4294967295,729,64,0,13,6286,180000,3891,2510,4235,0,5627,0,0,0,1,0,0
115,4294967295,604,129,0,157,0,180000,0,2510,2510,0,5627,0,0,0,1,0,0
116,4294967295,728,64,0,13,6286,180000,3891,2510,4235,0,5627,0,0,0,1,0,0
117,0,0,11184746,0,0,0,0,3893,0,0,0,0,0,0,0,1,0,0
120,4294967295,596,64,0,29,0,180000,3891,2510,2510,0,5627,0,0,0,1,0,0
121,4294967295,722,64,0,13,6286,180000,3891,2510,4235,0,5627,0,0,0,1,0,0
122,4294967295,852,1408,0,29,0,180000,0,8084,8084,0,5627,0,0,0,1,0,0
123,4294967295,853,1409,0,34,0,180000,0,8084,8084,0,5627,0,0,0,1,0,0
124,4294967295,455,64,0,11,0,0,3892,2572,2573,0,5627,0,0,0,1,0,0
125,4294967295,463,129,0,38,0,0,0,2572,2573,0,5627,0,0,0,1,0,0
