"ID","quest2Id00","quest2Id01","quest2Id02","quest2Id03","quest2Id04","quest2Id05","quest2Id06","quest2Id07","quest2Id08","quest2Id09","quest2Id10","quest2Id11","quest2Id12","quest2Id13","quest2Id14","itemImbuementRewardId00","itemImbuementRewardId01","itemImbuementRewardId02","itemImbuementRewardId03","itemImbuementRewardId04","itemImbuementRewardId05","itemImbuementRewardId06","itemImbuementRewardId07","itemImbuementRewardId08","itemImbuementRewardId09","itemImbuementRewardId10","itemImbuementRewardId11","itemImbuementRewardId12","itemImbuementRewardId13","itemImbuementRewardId14"
2,9441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
