"ID","localizedTextId"
1,474625
2,474626
3,474627
4,521509
5,521510
6,521511
7,521512
8,521513
9,521514
10,521515
11,521516
12,521517
13,521518
14,521519
15,521520
16,521521
17,521522
18,521523
19,521524
20,521525
21,521526
22,521527
23,521528
24,521529
25,521530
26,521531
27,521532
28,521533
29,521534
30,521535
31,521536
32,521537
33,521538
34,521539
35,521540
36,521541
37,521542
38,521543
39,521544
40,521545
41,521546
42,521547
43,521548
44,521549
45,521550
46,521551
47,521552
48,521553
49,521554
50,521555
51,521556
52,521557
53,521558
54,521559
55,521560
56,521561
57,521562
58,521563
59,521564
60,521565
61,521566
62,521567
63,521568
64,521569
65,521570
66,521571
68,521573
69,521574
70,521575
71,521576
72,521577
73,521578
75,521580
76,521581
77,521582
78,521583
79,521584
80,521585
81,521586
82,521587
83,521588
84,521589
85,521590
86,521591
88,521593
89,521594
90,521595
91,521596
92,521597
93,521598
94,521599
95,521600
96,521601
98,521603
101,521606
102,521607
103,521608
104,521609
105,521610
106,521611
107,521612
108,521613
109,521614
110,521615
111,521616
112,521617
113,521618
114,521619
115,521620
116,521621
117,521622
118,521623
120,521625
121,521626
122,521627
128,521633
131,521636
132,521637
133,521638
137,521642
151,521656
152,521657
153,521658
154,521659
155,521661
156,521664
157,521665
158,521666
159,521668
160,521669
161,521670
162,521671
163,521672
164,521673
165,521674
166,521675
168,521677
172,521681
173,521682
174,521683
175,521684
176,521685
177,521686
179,521688
180,521689
181,521690
186,521695
188,521697
189,521698
190,521699
191,521700
192,521701
193,521703
195,521705
196,521706
197,521707
198,521708
199,521710
200,521711
201,521712
202,521713
203,521714
204,521716
205,521717
206,521718
207,521719
208,521720
209,521721
210,521722
211,521724
212,521725
213,521727
214,521728
215,521729
216,521730
217,521731
218,521733
219,521734
220,521735
221,521736
222,521737
223,521738
224,521740
225,521741
226,521742
227,521743
228,521744
229,521745
230,521746
231,521749
232,521750
233,521751
234,521752
235,521753
236,521754
237,521755
238,521756
239,521757
240,521758
241,521759
242,521760
244,521762
246,522564
252,592500
253,618058
254,679248
256,730368
257,730369
258,730370
259,730371
260,730372
261,730373
262,730374
263,730375
264,730376
265,730377
266,730378
