"ID","datacubeTypeEnum","localizedTextIdTitle","localizedTextIdText00","localizedTextIdText01","localizedTextIdText02","localizedTextIdText03","localizedTextIdText04","localizedTextIdText05","soundEventId","worldZoneId","unlockCount","assetPathImage","datacubeFactionEnum","worldLocation2Id","questDirectionId"
4,0,184265,184266,189416,189417,0,0,0,45839,35,0,"",1,47856,0
5,0,184272,184273,189418,189419,0,0,0,45922,35,0,"",1,47857,0
6,0,184274,184275,189420,189421,0,0,0,45791,35,0,"",1,47858,0
7,0,185773,185774,230221,230222,0,0,0,45841,137,0,"",1,47859,0
8,0,185775,185776,230235,230236,0,0,0,45902,137,0,"",1,47860,0
9,0,185777,185778,230243,230244,0,0,0,45792,137,0,"",1,47861,0
10,0,185779,185780,187096,230245,0,0,0,50729,137,0,"",1,47862,0
11,0,185781,185782,230246,230247,0,0,0,45856,137,0,"",1,47863,0
12,0,185783,185784,230248,230249,0,0,0,45903,137,0,"",1,47864,0
13,0,185785,185786,230250,230251,0,0,0,45925,137,0,"",1,47865,0
17,0,186162,186163,189404,189405,0,0,0,45816,29,0,"",1,47866,0
18,0,187268,188984,189096,189097,0,0,0,45778,13,0,"",1,47867,0
19,0,187269,188986,189100,189101,0,0,0,45878,13,0,"",1,47868,0
20,0,187270,188987,189102,189103,0,0,0,45844,13,0,"",1,47869,0
21,0,187271,188988,189104,189105,0,0,0,45779,13,0,"",1,47870,0
22,0,187272,188990,189106,189107,0,0,0,45879,13,0,"",1,47871,0
23,0,187273,188991,189108,189109,0,0,0,45845,13,0,"",1,47872,0
24,0,187274,188994,189110,189111,0,0,0,45880,13,0,"",1,47873,0
25,0,187275,188995,189112,189113,0,0,0,45846,13,0,"",1,47874,0
26,0,187276,188996,189114,189115,0,0,0,45804,13,0,"",1,47875,0
27,0,187277,188997,189116,189117,0,0,0,45823,13,0,"",1,47876,0
28,0,187278,188998,189118,189119,0,0,0,45824,13,0,"",1,47877,0
29,0,187279,188999,189120,189121,0,0,0,45907,13,0,"",1,47878,0
30,0,187281,189001,189122,189123,0,0,0,45881,13,0,"",1,47879,0
31,0,187282,189002,189124,189125,0,0,0,45805,13,0,"",1,47880,0
32,0,187283,189003,189126,189127,0,0,0,45908,13,0,"",1,47881,0
33,0,187795,187796,189330,189331,0,0,0,45895,29,0,"",1,47882,0
34,0,188329,188330,189333,189334,0,0,0,45837,29,0,"",1,47883,0
35,0,188548,188549,189335,189336,0,0,0,45920,29,0,"",1,47884,0
36,0,188551,188552,189337,189338,0,0,0,45836,29,0,"",1,47885,0
37,0,188553,188554,189339,189340,0,0,0,45918,29,0,"",1,47886,0
38,0,188555,188556,189342,189343,0,0,0,45854,29,0,"",1,47887,0
39,0,188557,188558,189344,189345,0,0,0,45896,29,0,"",1,47888,0
40,0,188559,188560,189347,189348,0,0,0,45788,29,0,"",1,47889,0
41,0,188566,188567,189349,189350,0,0,0,45919,29,0,"",1,47890,0
42,0,188568,188569,189351,189352,0,0,0,45855,29,0,"",1,47891,0
43,0,188570,188571,189353,189354,0,0,0,45817,29,0,"",1,47892,0
44,0,188572,188573,189355,189356,0,0,0,45921,29,0,"",1,47893,0
45,0,188574,188575,189357,189358,0,0,0,45897,29,0,"",1,47894,0
46,0,188576,188577,189359,189360,0,0,0,45898,29,0,"",1,47895,0
47,0,188578,188579,189361,189362,0,0,0,45818,29,0,"",1,47896,0
48,0,188580,188581,189363,189364,0,0,0,45899,29,0,"",1,47897,0
49,0,188582,188583,189365,189366,0,0,0,45789,29,0,"",1,47898,0
50,0,188584,188585,189367,189368,0,0,0,45819,29,0,"",1,47899,0
51,0,188586,188587,189369,189370,0,0,0,45790,29,0,"",1,47900,0
52,0,189375,189376,189406,189407,0,0,0,45900,35,0,"",1,47901,0
53,2,193194,193195,0,0,0,0,0,8788,0,0,"",1,0,0
54,2,193196,193197,0,0,0,0,0,8789,0,0,"",1,0,0
55,2,193198,193199,0,0,0,0,0,8790,0,0,"",1,0,0
56,2,193773,193774,0,0,0,0,0,8791,0,0,"",1,0,0
57,2,193775,193776,0,0,0,0,0,8792,0,0,"",1,0,0
58,2,193777,193778,0,0,0,0,0,8793,0,0,"",1,0,0
59,0,195966,195967,520168,520154,0,0,0,45841,137,0,"",2,47902,0
60,0,195968,195969,520177,520157,0,0,0,45926,137,0,"",2,47903,0
61,0,195970,195971,520176,520150,0,0,0,45793,137,0,"",2,0,0
62,0,195972,195973,520182,520164,0,0,0,50730,137,0,"",2,47905,0
63,0,195974,195975,562455,520163,0,0,0,45927,137,0,"",2,47906,0
64,0,195976,195977,562458,520162,0,0,0,59001,137,0,"",2,47907,0
65,0,195978,195979,562468,520161,0,0,0,45904,137,0,"",2,47908,0
66,0,195980,195981,562469,520160,0,0,0,45928,137,0,"",2,47909,0
69,0,205137,205138,238001,238002,0,0,0,45888,622,0,"",2,47910,0
70,0,205139,205140,238003,238004,0,0,0,45863,622,0,"",2,47911,2401
71,0,205142,205143,238005,238006,0,0,0,45864,622,0,"",2,47912,2402
72,0,205144,205145,238007,238008,0,0,0,45932,622,0,"",2,47913,0
73,0,215835,215836,228741,228740,0,0,0,45827,36,0,"",2,47914,0
74,0,215838,215839,228744,228745,0,0,0,45858,36,0,"",2,47915,0
75,0,215840,215841,228746,228747,0,0,0,45806,36,0,"",2,47916,0
76,0,215843,215844,228749,228750,0,0,0,45909,36,0,"",2,47917,0
77,0,215845,215846,228752,228753,0,0,0,45910,36,0,"",2,47918,2407
78,0,215847,215848,281963,281964,0,0,0,45795,36,0,"",2,47919,2408
79,0,215849,215850,281965,281966,0,0,0,45859,36,0,"",2,47920,0
80,0,215851,215852,281967,281968,0,0,0,45780,36,0,"",2,47921,0
81,0,215853,215854,281969,281970,0,0,0,45882,36,0,"",2,47922,0
82,0,215855,215856,281971,281972,0,0,0,45847,36,0,"",2,47923,0
83,0,215857,215858,285454,285455,0,0,0,45860,36,0,"",2,47924,2409
84,0,215859,215860,285457,285458,0,0,0,45883,36,0,"",2,47925,0
85,0,215862,215863,285459,285460,0,0,0,45930,36,0,"",2,47926,2410
86,0,215864,215865,285461,285462,0,0,0,45807,36,0,"",2,47927,0
87,0,215866,215867,285463,285464,0,0,0,45828,36,0,"",2,47928,0
88,0,215868,215869,294522,294523,0,0,0,45829,36,0,"",2,47929,0
89,0,215870,215871,294528,294529,0,0,0,45861,36,0,"",2,47930,0
90,0,215872,215873,294530,294531,0,0,0,45796,36,0,"",2,47931,0
91,0,215874,215875,294532,294533,0,0,0,45781,36,0,"",2,47932,0
92,0,215877,215878,294536,294537,0,0,0,45848,36,0,"",2,47933,0
93,0,226292,226291,226301,226309,0,0,0,45865,483,0,"",2,47934,0
94,0,226293,226305,226300,226310,0,0,0,45866,483,0,"",2,47935,0
95,0,226294,226298,226299,226311,0,0,0,45811,483,0,"",2,47936,0
96,0,226295,226306,226302,226312,0,0,0,45830,483,0,"",2,47937,0
97,0,226296,226307,226303,226313,0,0,0,45783,483,0,"",2,47938,0
98,0,226297,226308,226304,226314,0,0,0,45784,483,0,"",2,47939,0
