"id","nameHash","soundGroupHash"
2,3485604552,1809657968
3,341819417,4266216692
4,341819418,4266216692
5,341819419,4266216692
6,748895195,1809657968
10,1474656175,1809657968
11,1732934276,1809657968
12,1107723959,1809657968
13,1470499509,1809657968
15,312313735,3536986515
16,312313732,3536986515
17,312313733,3536986515
19,1703261253,1809657968
20,711444287,1809657968
21,3725217498,1809657968
22,1133636385,3782024871
23,3189526517,3782024871
25,3642386149,1809657968
26,2445288903,1809657968
27,1621092041,1809657968
28,4277260442,1809657968
29,748895195,3536986515
30,4189071371,1809657968
32,2804295684,2654748154
33,1894260956,2654748154
34,748895195,2654748154
35,655265632,510124919
36,779278001,510124919
37,748895195,510124919
38,349818688,457214226
39,529726532,457214226
40,748895195,457214226
41,3562484199,457214226
42,3562484196,457214226
43,3562484197,457214226
44,3562484194,457214226
45,3562484195,457214226
46,2596272617,457214226
47,312313730,3536986515
48,748895195,3782024871
49,748895195,4266216692
50,312313731,3536986515
51,312313728,3536986515
52,748895195,2699311373
53,677785676,2699311373
54,848334847,2699311373
55,1826310756,3026714562
56,2879805246,3026714562
57,748895195,3026714562
58,312313729,3536986515
59,312313742,3536986515
60,3282584282,3536986515
61,2982524114,3536986515
70,3976119384,1850277145
71,1323933863,1850277145
72,3576956971,1850277145
73,3855411631,1850277145
74,748895195,1850277145
75,1204206225,1861014819
76,3066437359,1861014819
77,748895195,1861014819
78,748895195,2351872168
79,930712164,2351872168
80,1651971902,2351872168
297,1820468361,1687897867
298,3610904181,1687897867
299,3137241669,1687897867
300,3741794601,1687897867
301,2785888208,1687897867
302,1220746149,1687897867
303,748895195,1687897867
304,2236409761,1227356799
305,2472882549,1227356799
306,748895195,1227356799
390,302739334,3286112044
391,4117824089,3286112044
393,748895195,3286112044
394,748895195,3132607279
395,2400300682,3132607279
396,3321600236,3132607279
