"ID","flags","prerequisiteTypeId0","prerequisiteTypeId1","prerequisiteTypeId2","prerequisiteComparisonId0","prerequisiteComparisonId1","prerequisiteComparisonId2","objectId0","objectId1","objectId2","value0","value1","value2","localizedTextIdFailure"
1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
2,1,14,6,6,1,1,1,0,641,641,1612,2,3,0
3,0,3,0,0,1,0,0,0,0,0,1,0,0,499513
4,0,3,0,0,1,0,0,0,0,0,2,0,0,499514
5,0,3,0,0,1,0,0,0,0,0,3,0,0,499515
6,0,3,0,0,1,0,0,0,0,0,4,0,0,499516
7,0,3,0,0,1,0,0,0,0,0,5,0,0,499517
8,0,3,0,0,1,0,0,0,0,0,6,0,0,0
9,0,3,0,0,1,0,0,0,0,0,7,0,0,499518
10,0,3,0,0,1,0,0,0,0,0,8,0,0,0
11,0,2,0,0,1,0,0,0,0,0,1,0,0,0
12,0,2,0,0,1,0,0,0,0,0,2,0,0,0
13,0,2,0,0,1,0,0,0,0,0,3,0,0,0
14,0,2,0,0,1,0,0,0,0,0,4,0,0,0
15,0,2,0,0,1,0,0,0,0,0,5,0,0,0
16,0,2,0,0,1,0,0,0,0,0,12,0,0,0
17,0,2,0,0,1,0,0,0,0,0,13,0,0,0
18,0,250,0,0,1,1,0,0,6548,0,166,1,0,0
19,0,250,0,0,1,2,0,0,0,0,167,1,0,0
20,0,10,0,0,1,0,0,0,0,0,0,0,0,0
21,0,12,0,0,1,0,0,0,0,0,1,0,0,0
22,0,12,0,0,1,0,0,0,0,0,0,0,0,0
23,0,8,0,0,1,0,0,0,0,0,1,0,0,0
24,0,8,0,0,1,0,0,0,0,0,2,0,0,0
25,1,11,11,0,1,1,0,6,7,0,3,0,0,0
26,1,11,11,0,1,1,1,5,9,0,4,0,0,0
27,0,8,0,0,1,0,0,0,0,0,5,0,0,0
28,0,8,0,0,1,0,0,0,0,0,6,0,0,0
29,0,8,0,0,1,0,0,0,0,0,7,0,0,0
30,0,8,0,0,1,0,0,0,0,0,8,0,0,0
31,0,8,0,0,1,0,0,0,0,0,9,0,0,0
32,0,8,0,0,1,0,0,0,0,0,10,0,0,0
33,0,8,0,0,1,0,0,0,0,0,11,0,0,0
34,0,8,0,0,1,0,0,0,0,0,12,0,0,0
35,0,8,0,0,1,0,0,0,0,0,13,0,0,0
36,0,8,0,0,1,0,0,0,0,0,14,0,0,0
37,0,8,0,0,1,0,0,0,0,0,15,0,0,0
38,0,8,0,0,1,0,0,0,0,0,16,0,0,0
39,0,8,0,0,1,0,0,0,0,0,17,0,0,0
40,0,8,0,0,1,0,0,0,0,0,18,0,0,0
41,0,8,0,0,1,0,0,0,0,0,19,0,0,0
42,0,8,0,0,1,0,0,0,0,0,20,0,0,0
43,0,8,0,0,1,0,0,0,0,0,21,0,0,0
44,0,8,0,0,1,0,0,0,0,0,22,0,0,0
46,0,6,0,0,1,0,0,1426,0,0,1,0,0,0
47,0,6,0,0,1,0,0,1430,0,0,1,0,0,0
48,1,6,6,6,1,1,1,1426,1430,1430,1,1,1,0
49,0,0,0,0,1,0,0,0,0,0,4,0,0,0
52,0,5,0,0,4,0,0,260,0,0,2000,0,0,583750
54,0,5,0,0,4,0,0,260,0,0,4000,0,0,583751
