"ID","localizedTextIdHeading","localizedTextIdText00","localizedTextIdText01","localizedTextIdText02","localizedTextIdText03","localizedTextIdText04","localizedTextIdText05","localizedTextIdTextScientist00","localizedTextIdTextScientist01","localizedTextIdTextScientist02","localizedTextIdTextScientist03","localizedTextIdTextScientist04","localizedTextIdTextScientist05","creature2IdPortrait","iconAssetPath","inlineAssetPath","archiveEntryTypeEnum","archiveEntryFlags","archiveEntryHeaderEnum","characterTitleIdReward"
1,183083,183084,0,0,0,0,0,183085,0,0,0,0,0,0,"","",0,1,0,0
2,183643,183644,0,0,0,0,0,183645,0,0,0,0,0,0,"","",0,1,0,0
3,184200,184201,0,0,0,0,0,184202,0,0,0,0,0,0,"","",0,0,0,0
4,184203,184204,0,0,0,0,0,0,0,0,0,0,0,21409,"","",0,0,1,0
5,184210,184211,0,0,0,0,0,184212,0,0,0,0,0,0,"","",0,1,0,0
6,184213,184214,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
7,184215,184216,0,0,0,0,0,0,0,0,0,0,0,0,"Icon_ItemArmorFeet_UI_Item_Focal_Boot_001","",0,0,2,0
8,184218,184219,184220,184221,184222,0,0,0,0,0,0,0,0,0,"","",0,4,0,0
9,184223,184224,292951,292953,292954,292955,0,0,0,0,0,0,0,0,"","",0,2,0,0
10,184225,184226,292961,292962,292963,0,0,0,0,0,0,0,0,0,"","",0,0,1,0
16,223985,223986,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
17,223989,223990,223991,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
18,224025,224026,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
19,224028,224027,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
20,224438,224439,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
21,224440,224441,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
22,224717,224718,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
23,224724,224725,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
24,224735,224736,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
25,224890,224891,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
26,224898,224899,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
27,224913,224914,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
28,224919,224920,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
29,224928,224929,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
30,224937,224938,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
31,225533,225534,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
32,225535,225536,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
33,225540,225541,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
34,225580,225581,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0
