"ID","achievementId","faction2Id","factionIdAmount","talentPoints","tradeSkillSchematicId00","tradeSkillSchematicId01","tradeSkillSchematicId02","tradeSkillSchematicId03","tradeSkillSchematicId04","tradeSkillSchematicId05","tradeSkillSchematicId06","tradeSkillSchematicId07"
162,1471,0,0,1,2954,0,0,0,0,0,0,0
164,1472,0,0,0,272,273,274,0,0,0,0,0
165,1474,0,0,0,2955,282,283,284,285,286,287,0
166,4380,0,0,0,1243,0,0,0,0,0,0,0
167,4382,0,0,1,2986,0,0,0,0,0,0,0
168,1482,0,0,0,277,278,279,0,0,0,0,0
169,1484,0,0,0,2963,288,289,290,291,292,298,0
170,1487,0,0,0,1244,0,0,0,0,0,0,0
171,1489,0,0,0,1245,0,0,0,0,0,0,0
172,1492,0,0,1,2987,0,0,0,0,0,0,0
173,1491,0,0,0,2982,0,0,0,0,0,0,0
174,1493,0,0,0,2942,2943,0,0,0,0,0,0
182,1501,0,0,0,293,294,295,296,0,0,0,0
183,1503,0,0,0,2968,300,301,302,303,304,0,299
184,1505,0,0,0,1248,1250,0,0,0,0,0,0
185,1507,0,0,0,1249,1251,0,0,0,0,0,0
186,1509,0,0,1,2988,0,0,0,0,0,0,0
187,1510,0,0,0,2983,0,0,0,0,0,0,0
188,1511,0,0,1,1269,1271,2956,0,0,0,0,0
189,2148,0,0,0,1273,1274,1275,1276,0,0,0,0
190,2149,0,0,0,1277,1278,1279,1280,0,0,0,0
204,1533,0,0,0,372,381,0,0,0,0,0,0
205,1534,0,0,0,393,3006,0,0,0,0,0,0
206,1535,0,0,0,3001,0,0,0,0,0,0,0
207,1551,0,0,0,388,390,389,0,0,0,0,0
208,1552,0,0,0,382,0,0,0,0,0,0,0
209,1553,0,0,0,380,386,0,0,0,0,0,0
210,1554,0,0,0,3002,0,0,0,0,0,0,0
211,1561,0,0,0,370,0,0,0,0,0,0,0
212,1566,0,0,0,3003,0,0,0,0,0,0,0
213,1567,0,0,0,385,0,0,0,0,0,0,0
214,1568,0,0,0,387,0,0,0,0,0,0,0
215,4674,0,0,0,2533,2535,0,0,0,0,0,0
216,1569,0,0,1,2534,0,0,0,0,0,0,0
217,1560,0,0,0,369,383,371,384,0,0,0,0
218,1570,0,0,0,867,864,868,865,0,0,0,0
219,1571,0,0,0,857,858,0,0,0,0,0,0
220,1574,0,0,0,855,856,0,0,0,0,0,0
221,1575,0,0,0,844,0,0,0,0,0,0,0
222,1576,0,0,0,852,853,854,0,0,0,0,0
223,1577,0,0,0,860,866,0,0,0,0,0,0
224,1578,0,0,0,399,401,846,847,848,849,859,0
225,1579,0,0,0,397,0,0,0,0,0,0,0
226,1583,0,0,0,845,0,0,0,0,0,0,0
227,1584,0,0,0,839,0,0,0,0,0,0,0
228,2163,0,0,0,861,0,0,0,0,0,0,0
436,2164,0,0,0,400,0,0,0,0,0,0,0
437,2165,0,0,0,842,0,0,0,0,0,0,0
438,2166,0,0,0,404,835,0,0,0,0,0,0
439,2167,0,0,0,840,0,0,0,0,0,0,0
440,4675,0,0,0,876,877,878,879,0,0,0,0
441,2171,0,0,1,0,0,0,0,0,0,0,0
442,1532,0,0,0,862,850,851,869,863,875,0,0
443,1555,0,0,0,908,891,895,888,883,909,889,0
444,2173,0,0,0,905,906,910,0,0,0,0,0
445,2174,0,0,0,892,0,0,0,0,0,0,0
446,2175,0,0,0,898,893,918,899,900,0,0,0
447,2179,0,0,0,911,896,0,0,0,0,0,0
448,2180,0,0,0,921,890,922,923,924,0,0,0
449,4633,0,0,0,885,0,0,0,0,0,0,0
450,2186,0,0,0,925,0,0,0,0,0,0,0
451,2181,0,0,0,916,0,0,0,0,0,0,0
452,2187,0,0,0,902,903,0,0,0,0,0,0
453,2184,0,0,0,913,907,914,0,0,0,0,0
454,2185,0,0,0,880,882,0,0,0,0,0,0
455,2189,0,0,0,927,0,0,0,0,0,0,0
456,2182,0,0,0,917,0,0,0,0,0,0,0
457,2192,0,0,0,920,0,0,0,0,0,0,0
458,2193,0,0,0,919,904,0,0,0,0,0,0
459,4677,0,0,0,929,930,931,932,0,0,0,0
460,2194,0,0,1,0,0,0,0,0,0,0,0
461,1557,0,0,0,977,959,963,940,985,965,942,0
462,2196,0,0,0,956,984,0,0,0,0,0,0
463,2197,0,0,0,958,0,0,0,0,0,0,0
464,2198,0,0,0,975,0,0,0,0,0,0,0
465,2199,0,0,0,972,974,0,0,0,0,0,0
466,2200,0,0,0,968,973,0,0,0,0,0,0
467,2218,0,0,0,1347,1349,1350,0,0,0,0,0
468,2201,0,0,0,1348,0,0,0,0,0,0,0
469,4676,0,0,0,950,951,0,0,0,0,0,0
470,2204,0,0,0,943,944,945,946,0,0,0,0
471,2205,0,0,0,936,939,0,0,0,0,0,0
472,2208,0,0,0,938,0,0,0,0,0,0,0
473,2300,0,0,0,1234,1235,1236,1237,1238,0,0,0
474,2302,0,0,0,2973,305,306,307,308,309,310,0
475,2304,0,0,0,1254,1256,0,0,0,0,0,0
476,2306,0,0,0,1255,1257,0,0,0,0,0,0
477,2308,0,0,1,2989,0,0,0,0,0,0,0
478,2309,0,0,1,2984,0,0,0,0,0,0,0
479,2310,0,0,1,1281,1282,1283,0,0,0,0,0
480,2311,0,0,0,1284,1285,1286,1287,0,0,0,0
481,2312,0,0,0,1288,1289,1290,1291,0,0,0,0
495,2327,0,0,0,1266,1267,1268,1270,2957,0,0,0
496,2329,0,0,0,311,312,1239,1240,1241,1242,2978,0
497,2331,0,0,0,1260,1262,0,0,0,0,0,0
498,2333,0,0,0,1261,1263,0,0,0,0,0,0
499,2335,0,0,1,2990,0,0,0,0,0,0,0
500,2336,0,0,1,2985,0,0,0,0,0,0,0
501,2340,0,0,1,1292,1293,1294,1295,0,0,0,0
502,2338,0,0,1,1299,1300,1301,1302,0,0,0,0
516,2210,0,0,0,937,986,993,0,0,0,0,0
517,2211,0,0,1,996,0,0,0,0,0,0,0
518,2214,0,0,0,952,964,954,0,0,0,0,0
519,2215,0,0,0,953,0,0,0,0,0,0,0
520,2216,0,0,0,955,0,0,0,0,0,0,0
521,2282,0,0,0,947,941,949,0,0,0,0,0
522,4634,0,0,0,933,948,0,0,0,0,0,0
523,2425,0,0,0,935,0,0,0,0,0,0,0
524,1559,0,0,0,1107,1308,1054,1108,1310,0,0,0
525,2426,0,0,0,1118,1119,1120,0,0,0,0,0
526,2531,0,0,1,0,0,0,0,0,0,0,0
527,2533,0,0,1,0,0,0,0,0,0,0,0
528,2534,0,0,1,0,0,0,0,0,0,0,0
529,2535,0,0,1,0,0,0,0,0,0,0,0
530,2536,0,0,1,0,0,0,0,0,0,0,0
531,2537,0,0,1,0,0,0,0,0,0,0,0
532,2538,0,0,1,0,0,0,0,0,0,0,0
533,2539,0,0,1,0,0,0,0,0,0,0,0
534,2540,0,0,1,0,0,0,0,0,0,0,0
535,2541,0,0,1,0,0,0,0,0,0,0,0
536,2542,0,0,1,0,0,0,0,0,0,0,0
537,2543,0,0,1,0,0,0,0,0,0,0,0
539,2545,0,0,1,0,0,0,0,0,0,0,0
542,2548,0,0,1,0,0,0,0,0,0,0,0
