"ID","requiredPower","unitProperty2Id","scalar","offset","spell4Id"
1,2,102,0,0.00175,0
2,2,127,0,0.007,0
3,2,156,0,0.0035,0
4,2,155,0,0.00175,0
5,2,154,0,0.0035,0
6,2,112,0,0.0035,0
7,2,164,0,0.0049,0
8,2,195,0,0.0012,0
9,2,42,1.0035,0,0
10,2,165,0,-0.0035,0
11,2,104,0,0.0021,0
12,2,107,0,0.00014,0
13,2,101,0,0.00105,0
14,2,7,1.00175,0,0
15,2,137,0,0.0014,0
16,2,5,1.0105,0,0
17,2,157,0,0.0105,0
18,2,158,0,0.0021,0
19,2,196,0,0.0021,0
20,3,102,0,0.002,0
21,3,127,0,0.008,0
22,3,156,0,0.004,0
23,3,155,0,0.002,0
24,3,154,0,0.004,0
25,3,112,0,0.004,0
26,3,164,0,0.0055,0
27,3,195,0,0.0014,0
28,3,42,1.004,0,0
29,3,165,0,-0.004,0
30,3,104,0,0.0024,0
31,3,107,0,0.00016,0
32,3,101,0,0.0012,0
33,3,7,1.002,0,0
34,3,137,0,0.0016,0
35,3,5,1.012,0,0
36,3,157,0,0.012,0
37,3,158,0,0.0024,0
38,3,196,0,0.0024,0
39,4,102,0,0.00225,0
40,4,127,0,0.009,0
41,4,156,0,0.0045,0
42,4,155,0,0.00225,0
43,4,154,0,0.0045,0
44,4,112,0,0.0045,0
45,4,164,0,0.0062,0
46,4,195,0,0.0016,0
47,4,42,1.0045,0,0
48,4,165,0,-0.0045,0
49,4,104,0,0.0027,0
50,4,107,0,0.00018,0
51,4,101,0,0.00135,0
52,4,7,1.00225,0,0
53,4,137,0,0.0018,0
54,4,5,1.0135,0,0
55,4,157,0,0.0135,0
56,4,158,0,0.0027,0
57,4,196,0,0.0027,0
58,5,102,0,0.0025,0
59,5,127,0,0.01,0
60,5,156,0,0.005,0
61,5,155,0,0.0025,0
62,5,154,0,0.005,0
63,5,112,0,0.005,0
64,5,164,0,0.0069,0
65,5,195,0,0.0017,0
66,5,42,1.005,0,0
67,5,165,0,-0.005,0
68,5,104,0,0.003,0
69,5,107,0,0.0002,0
70,5,101,0,0.0015,0
71,5,7,1.0025,0,0
72,5,137,0,0.002,0
73,5,5,1.015,0,0
74,5,157,0,0.015,0
75,5,158,0,0.003,0
76,5,196,0,0.003,0
77,6,102,0,0.00275,0
78,6,127,0,0.011,0
79,6,156,0,0.0055,0
80,6,155,0,0.00275,0
81,6,154,0,0.0055,0
82,6,112,0,0.0055,0
83,6,164,0,0.0076,0
84,6,195,0,0.0019,0
85,6,42,1.0055,0,0
86,6,165,0,-0.0055,0
87,6,104,0,0.0033,0
88,6,107,0,0.00022,0
89,6,101,0,0.00165,0
90,6,7,1.00275,0,0
91,6,137,0,0.0022,0
92,6,5,1.0165,0,0
93,6,157,0,0.0165,0
94,6,158,0,0.0033,0
95,6,196,0,0.0033,0
96,7,102,0,0.003,0
97,7,127,0,0.012,0
98,7,156,0,0.006,0
99,7,155,0,0.003,0
100,7,154,0,0.006,0
101,7,112,0,0.006,0
102,7,164,0,0.0083,0
103,7,195,0,0.0021,0
104,7,42,1.006,0,0
105,7,165,0,-0.006,0
106,7,104,0,0.0036,0
107,7,107,0,0.00024,0
108,7,101,0,0.0018,0
109,7,7,1.003,0,0
110,7,137,0,0.0024,0
111,7,5,1.018,0,0
112,7,157,0,0.018,0
113,7,158,0,0.0036,0
114,7,196,0,0.0036,0
115,8,102,0,0.00325,0
116,8,127,0,0.013,0
117,8,156,0,0.0065,0
118,8,155,0,0.00325,0
119,8,154,0,0.0065,0
120,8,112,0,0.0065,0
121,8,164,0,0.009,0
122,8,195,0,0.0023,0
123,8,42,1.0065,0,0
124,8,165,0,-0.0065,0
125,8,104,0,0.0039,0
126,8,107,0,0.00026,0
127,8,101,0,0.00195,0
128,8,7,1.00325,0,0
129,8,137,0,0.0026,0
130,8,5,1.0195,0,0
131,8,157,0,0.0195,0
132,8,158,0,0.0039,0
133,8,196,0,0.0039,0
134,4,0,1,0,79986
135,4,0,1,0,79998
136,4,0,1,0,79992
137,4,0,1,0,83623
138,4,0,1,0,82705
139,4,0,1,0,82584
140,4,0,1,0,82712
141,4,0,1,0,82723
142,4,0,1,0,82727
143,4,0,1,0,82603
144,4,0,1,0,82736
145,4,0,1,0,82687
146,4,0,1,0,82734
147,4,0,1,0,82715
148,4,0,1,0,82729
149,4,0,1,0,82505
150,4,0,1,0,82538
151,4,0,1,0,82521
152,4,0,1,0,82550
153,4,0,1,0,82691
154,4,0,1,0,82685
155,4,0,1,0,82498
156,4,0,1,0,82530
157,4,0,1,0,82519
158,4,0,1,0,82535
159,4,0,1,0,82546
160,4,0,1,0,82562
161,4,0,1,0,82398
162,4,0,1,0,82591
163,4,0,1,0,82434
164,4,0,1,0,82463
165,4,0,1,0,82597
166,4,0,1,0,82490
167,4,0,1,0,82379
168,4,0,1,0,82416
169,4,0,1,0,82390
170,4,0,1,0,82426
171,4,0,1,0,82454
172,4,0,1,0,82439
173,8,0,1,0,79991
174,8,0,1,0,80012
175,8,0,1,0,79996
176,8,0,1,0,83624
177,8,0,1,0,82706
178,8,0,1,0,82585
179,8,0,1,0,82713
180,8,0,1,0,82724
181,8,0,1,0,82728
182,8,0,1,0,82604
183,8,0,1,0,82737
184,8,0,1,0,82688
185,8,0,1,0,82735
186,8,0,1,0,82720
187,8,0,1,0,82730
188,8,0,1,0,82510
189,8,0,1,0,82542
190,8,0,1,0,82537
191,8,0,1,0,82575
192,8,0,1,0,82692
193,8,0,1,0,82689
194,8,0,1,0,82507
195,8,0,1,0,82533
196,8,0,1,0,82527
197,8,0,1,0,82541
198,8,0,1,0,82548
199,8,0,1,0,82565
200,8,0,1,0,82400
201,8,0,1,0,82593
202,8,0,1,0,82447
203,8,0,1,0,82480
204,8,0,1,0,82598
205,8,0,1,0,82493
206,8,0,1,0,82382
207,8,0,1,0,82423
208,8,0,1,0,82404
209,8,0,1,0,82431
210,8,0,1,0,82479
211,8,0,1,0,82449
212,2,0,0,0,85638
213,3,0,0,0,85639
214,4,0,0,0,85640
215,2,0,0,0,87329
216,3,0,0,0,87330
217,2,0,0,0,87341
218,3,0,0,0,87342
219,2,0,0,0,87331
220,3,0,0,0,87332
221,2,0,0,0,87343
222,3,0,0,0,87344
223,2,0,0,0,87337
224,3,0,0,0,87338
225,2,0,0,0,87349
226,3,0,0,0,87350
227,2,0,0,0,87333
228,3,0,0,0,87334
229,2,0,0,0,87345
230,3,0,0,0,87346
231,2,0,0,0,87335
232,3,0,0,0,87336
233,2,0,0,0,87347
234,3,0,0,0,87348
235,2,0,0,0,87339
236,3,0,0,0,87340
237,2,0,0,0,87351
238,3,0,0,0,87352
239,1,107,0,0.001,0
240,1,102,0,0.0125,0
241,1,154,0,0.03,0
242,1,196,0,0.014,0
243,1,157,0,0.075,0
244,1,104,0,0.015,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0,0,0,0,0
249,0,0,0,0,0
250,1,7,1.01,0,0
251,2,42,1.0065,0,0
252,3,157,0,0.045,0
253,2,5,1.02,0,0
254,3,158,0,0.0084,0
255,2,154,0,0.0075,0
256,3,107,0,0.0015,0
257,2,164,0,0.0073,0
258,3,195,0,0.006,0
259,2,102,0,0.003125,0
260,3,127,0,0.03,0
261,3,101,0,0.0045,0
262,3,196,0,0.0084,0
263,2,104,0,0.00375,0
264,3,137,0,0.0063,0
265,3,102,0,0.0075,0
266,3,5,1.048,0,0
267,2,112,0,0.012,0
268,3,154,0,0.018,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,0,0,0
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,0,0,0,0,0
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,0,0,0,0
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
