"ID","localizedTextId"
1,21405
2,21468
3,28266
4,28267
5,28268
6,28269
7,28270
8,28271
9,28272
10,28273
11,28274
12,28275
13,28276
14,28277
15,28278
16,28279
17,28280
18,28281
19,28282
20,28283
21,28284
22,28285
23,28286
24,28287
25,28288
26,28289
27,28290
28,28291
29,28300
30,28301
31,28302
32,28303
33,28305
34,28306
35,28307
36,28308
37,28309
38,28310
39,28311
40,28312
41,28313
42,28314
43,28315
44,28316
45,28317
46,36235
47,73337
48,73338
49,73339
50,73340
51,73341
52,73342
53,73343
54,73344
55,73345
56,73346
57,73350
58,73601
59,74441
60,74442
61,74443
62,74444
63,74445
64,74446
65,74447
66,74448
67,74449
68,74450
69,74451
70,74452
71,74453
72,74454
73,74455
74,74457
75,74482
76,74483
77,74484
78,74485
79,74486
80,74517
81,74557
82,74558
83,74559
84,74560
85,74561
86,74562
87,74563
88,75506
89,75510
90,75511
91,75512
92,75513
93,75514
94,75515
95,75516
96,75517
97,75518
98,75524
99,75530
100,75531
101,75533
102,75534
103,82296
104,82955
105,112109
106,112110
107,112111
108,112112
109,112115
110,112116
111,112117
112,112125
113,112126
114,112160
115,128143
116,128144
117,128145
118,128146
119,128147
120,128148
121,128150
122,151059
123,151060
124,158681
125,161413
126,161900
127,169011
129,169013
131,175779
132,175780
133,175906
134,177462
135,177463
136,177464
137,177465
138,177466
139,177467
140,177468
141,177469
142,177470
143,177471
144,177472
145,177473
146,177474
147,177475
148,177476
149,177477
150,177478
151,177479
152,177480
153,177481
154,177482
155,177484
156,177486
157,177487
158,177504
159,177505
160,177506
161,177507
162,177508
163,177509
164,177510
165,177511
166,177512
167,177513
168,178514
169,178515
170,188395
171,188550
172,188565
173,188691
174,204582
175,204583
176,204584
177,217298
178,217299
186,257661
187,257662
188,257663
189,257664
190,257670
191,257672
192,257706
194,281926
195,281927
196,281928
197,281929
198,295553
199,303932
200,303933
201,303934
202,303937
203,303938
204,303939
205,303940
206,303949
207,304130
211,314314
212,314315
213,314316
214,314317
215,332117
216,332119
217,338539
218,338623
219,342330
222,344479
223,350225
224,350226
225,350228
226,350229
227,350230
228,350233
229,350235
230,350236
231,350238
232,350239
233,350241
234,350243
235,350244
236,350247
237,350248
238,350249
239,350297
240,350298
241,378189
242,378190
243,378191
244,378192
245,378193
246,378196
247,378199
248,378204
249,378208
250,378211
251,378212
252,378213
253,378214
254,379052
255,379053
256,379054
257,379066
258,379067
259,379117
260,379118
261,379121
262,379128
263,379129
264,379130
265,379132
266,379138
267,379143
268,379144
269,379145
270,379674
271,404763
272,404764
273,404765
274,407995
275,407996
276,410494
277,410495
278,410496
279,410497
280,410500
281,410501
282,410502
283,410503
284,410504
285,410505
286,410506
287,410507
288,410583
289,423440
290,423445
291,423455
292,423496
293,423517
294,423630
295,423634
296,423757
297,423759
298,429878
299,429879
300,429881
301,429946
302,429947
303,430461
305,438325
306,438326
307,438328
308,438330
309,438331
310,445699
311,445700
312,445701
313,445702
314,445704
315,448972
316,448973
317,448975
318,449205
319,449206
320,449207
322,449221
323,449225
324,464250
325,464251
326,474410
327,474593
328,474635
329,474934
330,474937
331,474938
332,474939
333,474940
334,480681
335,480693
336,488076
337,489308
338,503874
339,503875
340,503876
341,504399
342,504400
343,504401
344,504403
345,504404
346,504407
347,504409
348,504412
349,504413
350,504418
351,506351
352,506352
353,506353
354,510569
355,510571
356,510572
357,510574
358,510575
359,510576
360,510577
361,510579
362,510581
363,510592
364,510598
365,514626
366,514636
367,514637
368,514638
369,514639
370,514776
371,514777
372,514778
373,514779
374,514780
375,514781
376,514782
377,515716
378,515720
379,516098
380,516099
381,516100
382,516101
383,516102
384,516103
385,516105
386,516109
387,516110
388,516111
389,516125
390,516255
391,516347
392,516348
393,517264
394,517285
396,517504
397,517520
400,517598
401,517602
402,518286
403,518287
404,518288
405,518755
406,518756
407,519031
408,519059
409,519575
410,520023
411,520028
412,520029
413,520030
414,520031
415,521801
416,522050
417,522051
418,522052
419,522053
420,522054
421,522055
422,525840
423,525841
424,529775
425,529777
426,529778
427,529779
428,529780
429,529782
430,529783
431,529784
432,529785
433,529786
434,532614
435,536528
436,536529
437,536574
438,536575
439,536734
440,536747
441,537351
442,537683
443,537740
444,537741
445,537743
446,537744
447,537745
448,537746
449,538291
450,538358
451,538592
452,541495
453,541497
454,544334
455,544337
456,544339
457,544340
458,544341
459,544342
460,544343
461,544344
462,544346
463,544350
464,544351
465,544354
466,544368
467,551564
468,557988
469,557989
470,558701
471,561666
472,561667
473,561670
474,563130
475,563131
476,565697
477,565707
478,567142
479,567146
480,567151
481,567153
482,567154
483,567155
484,567499
485,567500
486,567502
487,567503
488,567504
489,567505
490,567506
491,567507
492,567508
493,567509
494,567510
495,567511
496,567512
497,567513
498,567514
499,567515
500,567516
501,567517
502,567518
503,567520
504,567521
505,567522
506,567996
507,568566
508,568567
509,568568
510,571607
511,571781
512,571782
513,574472
514,574473
515,574474
516,583519
517,583538
518,583554
519,588286
520,588292
521,588396
522,591992
523,591993
524,596008
525,596009
526,614793
527,614794
528,619535
529,619536
530,619537
531,619538
532,619539
533,620455
534,620456
535,621008
536,621013
537,621015
538,621016
540,626482
541,628603
542,630660
543,632164
544,632172
545,633685
546,636162
547,636163
548,636164
549,636165
550,636167
551,636168
552,650666
553,650667
554,655335
555,655338
556,657148
557,657150
558,657152
559,657153
560,672731
561,677886
562,682698
563,690770
564,690901
565,699648
567,719832
568,719833
569,719834
570,719835
571,719836
572,719843
573,719844
574,719845
575,735781
