"ID","creature2Id","item2Id"
1,19986,12834
2,21131,13050
3,21592,13078
4,17085,12280
5,17083,12280
6,28292,15988
7,30759,17232
8,31150,17390
9,31158,17390
10,31159,17390
11,31160,17390
12,32896,18008
13,32898,18008
14,32899,18008
15,33005,12280
16,33167,18074
17,33312,18074
18,33313,18074
19,33314,18074
20,33315,18074
21,33316,18074
22,33448,18077
23,33449,18077
24,33450,18077
25,33625,18642
26,33644,18642
27,33645,18642
28,33585,18934
29,35936,20785
30,46515,27903
31,46541,27935
32,46518,27903
33,46542,27935
34,46640,27937
35,49747,29203
36,71753,81325
